Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Bangaly-Fodé Koita,Caen,28,"AM(LR),FW",22(7),1848,2,0.7,23.8,72.8,0.1,0.5,0.1,6.93
Jean-Louis Leca,SC Bastia,33,GK,3,270,-,-,33,37.4,-,10,-,6.92
Jerome Le Moigne,Lens,36,DMC,31,2462,1,0.2,39.4,79.9,-,1.8,-,6.92
Jonas Martin,Montpellier,29,M(CL),27(3),2301,4,0.7,43,84.6,0.2,2.1,0.1,6.92
Jesper Juelsgaard,Evian Thonon Gaillard,30,D(L),10(1),874,-,0.8,29.5,65.1,1,2.6,-,6.92
Lamine Gassama,Lorient,29,D(R),31,2701,1,0.5,39.6,80,0.7,2.9,-,6.92
Gaëtan Bussmann,Metz,28,D(L),31,2676,4,0.5,28.2,68.1,0.5,1.6,-,6.91
Carlos Eduardo,Nice,29,AM(C),29(1),2332,4,0.8,30.9,78.7,0.3,1.6,0.1,6.91
Romain Métanire,Metz,29,D(R),33(1),2987,-,0.7,30,71.7,0.6,1.8,-,6.91
Oswaldo Vizcarrondo,Nantes,35,D(C),36,3240,-,0.1,29,79.6,-,2.6,-,6.91
Jean Calvé,Caen,35,D(R),14(2),1335,1,0.8,30.9,68,1.3,1.7,0.1,6.91
Franck Beria,Lille,36,D(CLR),16(1),1260,2,0.5,34.6,79.6,0.4,1.4,-,6.91
Valentin Rongier,Nantes,24,M(C),3(3),321,1,0.8,32.7,88.3,0.3,1.3,-,6.91
Mathieu Peybernes,SC Bastia,28,D(C),24(6),2332,2,0.2,28.9,77.4,-,2.5,-,6.90
Florent Malouda,Metz,39,M(CL),28,2345,5,1.5,36.8,80.3,0.4,1.6,-,6.90
Ahmed Kantari,Lens,34,D(C),31,2766,-,0.2,37.1,74.4,-,3.9,-,6.90
Dusan Veskovac,Toulouse,33,D(C),13,1050,-,0.2,34.7,76.7,-,3.2,-,6.90
Marc Planus,Bordeaux,37,D(C),6(2),471,-,-,17.4,86.3,-,2.4,-,6.90
Vincent Pajot,Rennes,28,M(C),20(3),1626,1,0.3,34.3,81.6,0.1,1.9,-,6.89
Éric Bautheac,Nice,31,AM(LR),29(6),2585,5,1.3,26.7,72.6,1.1,1,-,6.89
Bakary Koné,Lyon,31,D(C),14(3),1290,-,0.2,35.1,89.1,-,1.2,-,6.89
Bouna Sarr,Metz,27,"D(R),M(CLR)",23(7),2075,2,1.5,26.1,77.7,1.1,1,-,6.88
Zoumana Camara,Paris Saint-Germain,40,D(C),6(2),594,-,-,39.3,93.6,-,0.5,-,6.88
Guido Milán,Metz,31,D(C),22(2),1928,-,0.2,25.4,66.2,-,3.9,-,6.88
Óscar Trejo,Toulouse,31,M(CLR),25(6),2125,3,0.9,33,78.8,0.5,0.7,0.1,6.87
Francois Modesto,SC Bastia,40,"D(C),DMC",25(4),2302,-,0.2,32.4,74.4,0.1,5,-,6.87
Jérémy Sorbon,Guingamp,35,D(C),35,3074,-,0.1,33.3,83.4,-,2.7,-,6.87
Jaroslav Plasil,Bordeaux,37,M(C),31(3),2820,3,1.2,48.3,85.3,0.3,2.6,-,6.87
Diego Rolan,Bordeaux,26,"AM(CLR),FW",28(8),2484,3,0.9,24.6,81,0.1,0.7,-,6.87
El-Hadji Ba,SC Bastia,26,DMC,7,573,-,0.1,33.9,71.7,0.1,1.7,-,6.87
Christophe Kerbrat,Guingamp,32,D(C),27(5),2407,-,0.2,30.4,73.8,-,2.3,-,6.87
Diego Contento,Bordeaux,29,D(L),23(2),1984,3,0.6,32.8,77.5,0.4,2.4,-,6.87
Francois Bellugou,Lorient,32,"D(C),DMC",19(1),1713,-,0.2,37.1,82.5,-,3.4,-,6.87
Mickaël Tacalfred,Reims,38,D(C),27(2),2490,-,0.3,42.6,82,0.1,4.2,0.1,6.86
Dennis Appiah,Caen,27,D(LR),29(1),2572,2,0.4,25.1,64.2,0.4,0.8,-,6.86
