Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Vitali Kutuzov,Bari,39,"AM(L),FW",10(2),813,1,4,1,-,0.8,73.8,0.6,-,6.89
Sergio Pellissier,Chievo,40,FW,35,3093,11,3,4,-,2.2,75.6,0.5,1,6.88
Goran Pandev,Inter,35,"M(CR),FW",13(6),1132,3,4,2,-,1.4,81.8,0.2,-,6.88
Dida,AC Milan,45,GK,23,2067,-,-,-,-,-,58.3,-,1,6.88
Andrea Coda,Udinese,34,D(C),24(2),2172,-,-,7,-,0.2,80.1,1.5,-,6.88
Daniele Portanova,Bologna,40,D(C),36,3199,2,-,8,-,0.4,74.1,1,3,6.88
Sokratis,Genoa,31,D(CR),25(5),2293,-,1,10,-,0.3,81.4,1.6,1,6.88
Marius Stankevicius,Sampdoria,37,"D(CLR),DMC",14,1130,-,1,3,2,0.4,72.6,0.6,-,6.88
Paolo Dellafiore,Parma,34,"D(CLR),M(LR)",22(1),1949,-,1,6,-,0.1,80.6,0.8,1,6.88
Fabio Grosso,Juventus,41,D(CL),22(4),1994,2,2,6,-,1,77.1,0.2,-,6.87
Riccardo Meggiorini,Bari,33,FW,23(8),2060,5,3,6,-,1.9,73.5,0.9,1,6.87
Davide Mandelli,Chievo,42,"D(CL),DMC",19(2),1691,-,1,8,-,0.3,75.5,1,-,6.87
Iván Córdoba,Inter,42,"D(L),DMC",15(6),1360,-,-,3,1,0.2,84.9,1.1,-,6.87
Tomás Kosicky,Catania,33,GK,0(1),34,-,-,-,-,-,66.7,-,-,6.87
Dario Dainelli,Fiorentina,40,D(C),11,925,-,-,1,2,0.5,72,1.8,-,6.87
Salvatore Aronica,Napoli,41,D(C),24(2),2069,-,2,13,1,0.3,78.7,0.2,-,6.87
Claudio Marchisio,Juventus,33,M(C),27(1),2246,3,2,7,-,1.8,80,0.1,1,6.86
Sebastiano Siviglia,Lazio,46,"DMC,M(R)",18(2),1507,1,-,3,-,0.2,78.4,1.3,2,6.86
Mario Santana,Fiorentina,37,M(L),21(5),1581,3,1,2,-,1.3,77.1,0.3,1,6.86
David Trezeguet,Juventus,41,"AM(CL),FW",13(6),1164,7,1,1,-,1.7,79.2,0.9,-,6.86
Abdelkader Ghezzal,Robur Siena,34,FW,26(4),2345,6,4,8,-,2,77.4,1,1,6.86
Leonardo Talamonti,Atalanta,37,D(CL),15(2),1312,-,-,3,-,0.2,80.7,1.6,-,6.85
Adrian Mutu,Fiorentina,40,FW,9(2),749,4,-,2,-,3.4,71.8,0.7,1,6.84
Santiago Morero,Chievo,37,D(CL),23(1),1947,-,1,5,2,-,69.6,1,1,6.84
Luigi Vitale,Livorno,31,FW,14(8),1457,-,1,3,-,1,75,0.2,-,6.84
Gianluca Curci,Robur Siena,33,GK,36,3119,-,-,1,1,-,48.3,0.1,1,6.84
Federico Peluso,Atalanta,35,"D(CL),M(L)",17(7),1675,1,1,8,-,0.3,74.1,1.1,-,6.84
Giuseppe Favalli,AC Milan,47,DMC,15(1),1310,-,-,3,-,0.1,83.7,1.3,-,6.84
Emilson Cribari,Lazio,39,"D(L),M(L)",7(3),619,-,-,2,1,0.1,80.5,0.6,1,6.84
Raffaele Palladino,Genoa,35,"AM(CL),FW",18(7),1437,4,-,1,-,1.4,77.1,0.1,-,6.84
Manuel Iori,Chievo,37,D(C),14(1),1063,-,-,4,-,0.9,79.6,0.7,-,6.83
Fabio Simplicio,Palermo,39,"D(C),M(C),FW",21(6),1745,3,2,5,-,1.3,85.3,0.1,-,6.83
Marco Rossi,Sampdoria,31,"D(C),DMC",17(3),1518,1,-,4,1,0.2,82.6,1.2,-,6.83
Fabiano Santacroce,Napoli,32,D(C),4,312,-,-,1,-,-,75.4,0.5,-,6.83
Mark Bresciano,Palermo,39,"D(C),M(C)",18,1536,1,1,3,-,1.7,85.4,0.2,1,6.83
Damiano Zenoni,Parma,42,D(CR),14(5),1334,-,3,2,-,0.2,77.8,0.4,-,6.83
Francesco Pisano,Cagliari,33,D(LR),7(2),617,-,1,2,-,-,74.5,0.1,-,6.83
Andrea Raggi,Bologna,35,D(CLR),30(1),2645,1,-,4,1,0.3,73,0.6,-,6.82
Antonio Nocerino,Palermo,34,M(C),32(3),2890,2,2,4,-,0.9,80.4,0.2,1,6.82
Stefano Mauri,Lazio,39,"M(CLR),FW",29(6),2596,3,3,5,-,1.1,79.5,0.7,-,6.82
Samir Handanovic,Udinese,34,GK,37,3330,-,-,4,-,-,57.7,-,-,6.82
Cristiano Doni,Atalanta,46,AM(CL),23(7),2035,2,3,12,1,2.4,75.8,1.6,1,6.82
Christian Panucci,Parma,46,"D(C),DMC,M(L)",19,1691,1,1,8,-,0.5,67.6,0.9,1,6.82
Alessandro Agostini,Cagliari,39,D(L),38,3420,-,1,3,-,0.3,78.4,0.1,-,6.81
