Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Mark Noble,West Ham,32,M(C),25(2),2123,2.3,1.9,1.4,-,0.6,1.1,0.1,-,7.06
Christophe Berra,Wolverhampton Wanderers,34,D(C),32,2836,2,1.3,1.6,1,10.6,0.3,0.7,-,7.06
James Tomkins,West Ham,30,D(CR),22(1),1997,1.3,2.4,0.5,0.7,11.7,0.6,0.8,-,7.05
Stewart Downing,Aston Villa,34,"D(L),M(CLR)",23(2),2074,1.4,1.4,0.3,-,0.6,0.4,0.1,-,7.05
Younes Kaboul,Tottenham,33,D(C),8(2),785,2.1,2,1.5,-,4.9,1.2,0.5,-,7.05
Jonathan Woodgate,Tottenham,39,D(C),3,194,1.7,1.3,0.7,1,5.7,0.3,-,-,7.05
Edwin van der Sar,Manchester United,48,GK,21,1890,-,-,-,-,0.8,-,-,-,7.04
John Obi Mikel,Chelsea,32,M(C),21(4),1746,2.4,2.2,1.7,-,1.6,0.6,0.2,-,7.04
Aruna Dindane,Portsmouth,38,AM(C),18(1),1479,0.8,0.8,1.9,-,0.1,0.4,0.1,-,7.04
Yuri Zhirkov,Chelsea,35,"D(L),M(CL)",10(7),954,2.7,1.2,1,-,1.8,0.3,0.1,-,7.04
Carlton Cole,West Ham,35,FW,26(4),2286,0.3,0.4,2.5,-,0.9,0.3,-,1,7.04
Marton Fülöp,Manchester City,36,GK,3,270,-,-,-,-,0.7,-,-,-,7.04
Leon Osman,Everton,38,M(CLR),25(1),1995,2.1,2.9,1.1,-,1.4,0.9,0.2,1,7.03
Louis Saha,Everton,40,"AM(L),FW",26(7),2333,0.8,0.5,0.9,-,0.7,0.1,0.1,-,7.03
Michael Carrick,Manchester United,37,"D(C),M(C)",22(8),2112,2.3,1.5,0.5,0.1,1.4,0.6,0.4,-,7.03
Patrick Vieira,Manchester City,43,"D(C),DMC",8(5),815,2.2,1.7,1.5,-,1.5,0.8,0.2,-,7.03
Clarke Carlisle,Burnley,39,D(CL),27,2374,1.9,2.6,1,1.4,13.4,0.7,0.6,1,7.03
Abdoulaye Faye,Stoke,41,"D(CL),DMC",30(1),2386,1.7,1.8,0.8,0.4,8.6,0.2,0.8,-,7.03
Matthew Kilgallon,Sunderland,35,D(CL),6(1),612,2.1,2.3,0.7,0.3,10.3,0.3,0.6,-,7.03
Jamie Ashdown,Portsmouth,38,GK,5(1),451,-,-,-,-,1,-,-,-,7.03
Joleon Lescott,Manchester City,36,D(CL),17(1),1565,1.4,2.3,0.7,0.7,7.7,0.2,0.9,-,7.02
Bobby Zamora,Fulham,38,FW,27,2230,0.5,0.8,2.4,-,1.3,0.4,-,-,7.02
Joe Cole,Chelsea,37,M(LR),14(12),1284,1,0.9,0.7,-,0.2,0.3,0.1,-,7.02
Wayne Bridge,Manchester City,38,D(L),23,1897,2.2,2.8,0.7,0.1,3.9,0.5,0.2,-,7.01
Micah Richards,Manchester City,31,D(CR),19(4),1647,1.2,1.5,1.3,0.3,4,0.5,0.3,-,7.01
Emmanuel Eboué,Arsenal,36,D(R),17(8),1496,1.7,1.4,0.8,0.1,0.6,0.3,0.2,-,7.01
Joseph Yobo,Everton,38,D(C),14(3),1184,2.1,2,0.6,0.4,9.9,0.2,0.6,1,7.01
Tal Ben Haim,Portsmouth,37,D(C),21(1),1913,3.2,2.2,1.5,0.6,7.1,1,0.6,-,7.01
Nicklas Bendtner,Arsenal,31,FW,13(10),1228,0.7,0.4,0.7,-,0.7,0.1,0.1,-,7.01
John Pantsil,Fulham,38,D(R),22,1900,2.3,2,1,0.2,5.5,0.4,0.4,1,7.00
Gaël Givet,Blackburn,37,"D(C),DMC",33(1),2800,1.6,2.6,0.6,0.3,7.3,0.3,0.6,1,7.00
Morten Gamst Pedersen,Blackburn,37,M(C),27(6),2424,1.8,2.6,1.4,-,0.9,1,0.1,-,7.00
Stuart Holden,Bolton,33,M(CR),1(1),114,3.5,1,1.5,-,3,0.5,0.5,-,7.00
Shaun Wright-Phillips,Manchester City,37,M(LR),19(11),1748,1,1.1,0.7,-,0.9,0.5,-,-,7.00
Lee Bowyer,Birmingham,42,"AM(CR),FW",34(1),3011,2.8,1.9,1.5,-,1,0.9,0.4,-,7.00
Chung-Yong Lee,Bolton,30,M(CLR),27(7),2414,1.5,2,0.5,-,0.6,0.4,-,-,7.00
Valon Behrami,West Ham,34,M(C),24(3),2055,4,1.8,1.3,-,1.1,1.1,0.2,-,6.99
Gary Neville,Manchester United,44,D(R),15(2),1355,1.6,1.5,0.9,-,2.5,0.3,0.2,-,6.99
John Carew,Aston Villa,39,"AM(L),FW",22(11),2107,0.8,0.8,2.1,-,1.5,0.2,0.1,-,6.99
Yossi Benayoun,Liverpool,39,M(R),19(11),1855,1.4,1.5,0.6,-,0.3,0.6,-,-,6.99
Chris Baird,Fulham,37,"D(LR),DMC",29(3),2659,1.8,3.1,0.8,-,4.4,0.7,0.6,2,6.99
Nigel de Jong,Manchester City,34,M(C),30(4),2631,2.8,3.3,1.3,-,1.4,0.6,0.3,-,6.98
Pascal Chimbonda,Blackburn,40,D(CR),22(2),1974,1.8,1.8,0.4,0.3,4.8,0.4,0.5,-,6.97
Luke Young,Aston Villa,39,D(CR),14(2),1288,3,1.9,1.2,0.4,4.1,0.9,0.5,-,6.97
Kevin Doyle,Wolverhampton Wanderers,35,"M(C),FW",33(1),2899,1.3,0.6,1.4,-,0.8,0.3,0.1,-,6.96
Hendry Thomas,Wigan,34,M(C),27(4),2339,4.6,2.6,2,-,2.6,1.4,0.5,-,6.96
Matthew Etherington,Stoke,37,M(L),33(1),2894,1.1,1,0.4,-,0.4,0.4,-,-,6.95
Aaron Hughes,Fulham,39,D(CR),34,3060,0.9,1.5,0.2,0.9,10,0.1,1,-,6.95
Ben Watson,Wigan,33,M(C),4(1),336,2.4,1.4,0.8,-,1,1,-,-,6.95
Jack Wilshere,Bolton,27,M(CLR),13(1),1093,2.3,2.1,1.9,-,0.3,1.1,-,-,6.95
Michael Duff,Burnley,41,D(C),10(1),951,2.3,2.2,1.1,0.3,12.6,0.6,0.9,-,6.95
Hugo Rodallega,Wigan,33,FW,38,3323,0.6,1.1,1.3,-,0.4,0.3,0.1,-,6.95
Gabriel Agbonlahor,Aston Villa,32,"AM(CLR),FW",35(1),3083,0.6,0.3,1.5,-,0.2,0.4,0.1,-,6.94
Thomas Sørensen,Stoke,43,GK,33,2867,-,-,-,-,0.7,-,-,-,6.94
Paul Scharner,Wigan,39,D(C),30(8),2524,1.9,1.9,1.2,0.2,2.8,0.7,0.2,-,6.94
Albert Riera,Liverpool,37,"D(L),M(L)",9(3),651,1,0.8,0.4,-,0.8,0.2,-,-,6.94
Paulo Da Silva,Sunderland,39,D(C),12(4),1160,2.8,2,0.8,0.6,6.8,0.2,0.7,-,6.93
Mark Schwarzer,Fulham,46,GK,37,3330,-,-,-,-,0.9,0.1,-,-,6.93
Jamie Carragher,Liverpool,41,D(C),37,3254,2.2,1.9,0.8,0.5,6.8,0.4,0.6,-,6.93
Rio Ferdinand,Manchester United,40,D(C),12(1),1083,0.9,1.9,0.2,1,5.2,0.1,0.3,-,6.92
Jack Collison,West Ham,30,M(C),19(3),1659,1.5,2.5,0.6,-,0.7,1,0.2,-,6.92
Sebastian Larsson,Birmingham,34,M(CR),26(7),2382,1.7,1.8,1.2,-,0.9,0.8,0.2,-,6.92
Kyle Walker,Tottenham,29,"D(CR),M(R)",2,180,5.5,0.5,0.5,0.5,2,1.5,-,-,6.92
Tom Cairney,Hull,28,M(CR),10(1),900,1.7,2,1,-,1,0.5,0.8,-,6.91
Tamir Cohen,Bolton,35,M(CR),26(1),2102,2.8,1.9,2,-,2,1,0.5,-,6.91
Brad Friedel,Aston Villa,48,GK,38,3420,-,-,-,-,1.4,-,-,-,6.91
Sylvain Distin,Portsmouth,41,D(C),3,270,2.7,4,-,0.3,10,-,0.3,-,6.91
Martin Olsson,Blackburn,31,"D(L),M(L)",19(2),1721,1.3,1.3,0.8,-,2.3,0.2,0.2,-,6.91
José Reina,Liverpool,36,GK,38,3420,-,-,-,-,1.1,0.1,-,-,6.90
Tomas Rosicky,Arsenal,38,M(CR),14(11),1299,0.9,0.7,0.5,-,0.3,0.4,-,-,6.90
Craig Gordon,Sunderland,36,GK,26,2317,-,-,0.1,-,1.1,-,-,-,6.89
Joe Hart,Birmingham,32,GK,36,3240,-,-,0.1,-,1.2,-,-,-,6.89
Alan Hutton,Sunderland,34,D(LR),11,951,2.4,1.4,0.9,0.2,3.6,0.6,0.2,-,6.89
Danny Collins,Stoke,38,D(C),22(3),2079,1.7,2.2,0.4,-,6.5,0.4,0.3,-,6.89
Steven Mouyokolo,Hull,32,"D(CL),DMC",19(2),1674,2.2,1.1,0.7,0.9,8.7,-,0.7,-,6.89
James McCarthy,Wigan,28,M(C),19(1),1638,3,2,1.4,-,1.4,0.8,0.2,1,6.89
Benjani,Manchester City,40,FW,1(1),126,-,0.5,-,-,-,-,-,-,6.89
Zoltán Gera,Fulham,40,M(CLR),19(8),1870,1.9,2,1.4,-,1.1,1.1,0.2,-,6.88
Paulo Ferreira,Chelsea,40,D(R),11(2),951,2,0.9,0.6,0.1,2.5,0.5,0.2,-,6.88
Maynor Figueroa,Wigan,36,"D(CL),M(L)",35,3088,2.5,2.4,1,0.1,4.1,0.7,0.3,-,6.88
Javier Garrido,Manchester City,34,D(CL),7(2),634,2.2,1.1,0.8,0.4,2.7,0.2,-,-,6.88
Martin Skrtel,Liverpool,34,D(C),16(3),1410,2.1,1.7,1,0.8,6.4,0.4,0.3,-,6.88
Liam Ridgewell,Birmingham,34,D(CL),30(1),2745,2.2,1.3,0.9,0.5,4.7,0.7,0.4,-,6.88
Tyrone Mears,Burnley,36,"D(R),M(R)",38,3420,2.5,2.2,1.2,0.3,4.7,0.3,0.7,-,6.87
Philippe Senderos,Everton,34,D(C),1(1),91,1,2.5,-,-,5.5,-,-,-,6.87
