Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Roberto Jiménez,Real Zaragoza,33,GK,38,3420,-,-,-,0.1,-,0.1,-,-,-,6.94
Daniel Parejo,Valencia,30,M(C),12(4),1000,-,-,0.9,1.3,0.7,1.5,0.1,0.9,0.7,6.94
Jonas,Valencia,35,"AM(CLR),FW",23(11),2110,10,5,2.4,1,0.4,1.2,0.4,1.2,1.4,6.94
Pinto,Barcelona,43,GK,3,270,-,-,-,-,-,0.3,-,-,-,6.94
Rovérsio,Osasuna,35,D(L),14(2),1206,2,1,0.3,0.1,-,0.5,-,0.1,0.4,6.94
Tito,Rayo Vallecano,33,D(CLR),36,3163,1,1,0.3,0.6,0.2,1.1,-,0.5,0.7,6.94
Paulao,Real Betis,36,D(C),17,1494,-,-,0.5,0.1,0.1,0.4,0.1,-,0.2,6.94
Salomón Rondón,Malaga,29,FW,29(8),2489,11,4,2.6,0.7,0.5,1.8,0.6,2,1.8,6.94
Tiago,Atletico Madrid,38,M(C),22(2),1731,-,-,0.7,0.4,0.1,1.3,-,0.6,0.7,6.94
Nono Delgado,Real Betis,26,DMC,1(1),99,-,-,1.5,-,0.5,1,-,0.5,-,6.94
Romaric,Espanyol,36,"D(C),M(C)",22(6),1893,3,1,2.1,1.4,0.4,0.8,-,1.1,0.8,6.93
Cristián Zapata,Villarreal,32,D(C),28,2493,-,1,0.4,0.1,0.2,0.7,-,0.4,0.4,6.93
Bernardo Espinosa,Racing Santander,29,D(C),25,2206,2,-,0.6,0.1,-,0.4,0.1,0.1,0.2,6.93
Cani,Villarreal,37,M(CLR),27(2),1942,-,3,1.1,1.3,1.5,1.3,0.1,1,1,6.93
Coke,Sevilla,32,"D(CLR),M(R)",24(4),2173,-,-,0.4,0.4,0.6,0.9,0.2,0.7,0.6,6.93
Javi Chica,Real Betis,34,D(LR),14(1),1237,-,2,0.3,0.9,0.2,0.5,-,0.9,0.4,6.92
Catalá,Villarreal,34,D(CL),13,1131,-,1,0.2,1,0.5,0.2,0.5,0.6,0.8,6.92
Efraín Juárez,Real Zaragoza,31,DMC,15,1305,1,1,0.1,0.6,0.3,1.1,0.1,0.9,0.5,6.92
Diego Mainz,Granada,36,D(C),19(2),1780,1,-,0.6,0.1,-,0.7,0.2,0.1,0.2,6.92
Alberto Botía,Sporting Gijon,30,D(C),33(1),2965,1,-,0.3,0.1,0.1,0.5,0.1,0.1,0.3,6.92
Víctor Ruiz,Valencia,30,D(C),22,1961,-,-,0.1,0.2,0.3,0.7,-,0.1,0.3,6.92
Ricardo Costa,Valencia,38,D(C),11(1),1011,-,-,1,0.2,-,0.3,-,0.3,0.3,6.91
Kalu Uche,Espanyol,36,FW,11(4),911,6,1,2.2,0.7,0.3,0.9,0.8,1.4,1.1,6.91
Óscar De Marcos,Athletic Bilbao,30,"D(LR),M(CR)",34,2926,4,4,1.4,1,0.6,0.9,0.7,1.4,1.4,6.91
Raphael Varane,Real Madrid,26,D(C),7(2),681,1,-,0.9,-,-,0.2,-,0.1,0.3,6.91
Franco Jara,Granada,30,M(C),23(8),2073,3,5,1.9,1,1.3,2.1,0.2,1.2,1.6,6.91
Abdelaziz Barrada,Getafe,30,M(CR),25(7),2171,4,1,0.9,1.5,0.8,2.3,0.1,2.2,1.1,6.90
Aurtenetxe,Athletic Bilbao,27,D(CL),30(1),2505,1,-,0.6,0.5,0.1,0.5,-,0.5,0.8,6.90
Mikel Rico,Granada,34,M(C),32(4),3020,3,2,1.1,0.6,0.5,1.3,-,0.8,0.7,6.90
Ignacio Camacho,Malaga,29,"D(C),M(C)",8(5),806,1,-,0.2,0.2,0.1,0.8,0.1,0.2,-,6.90
Andoni Iraola,Athletic Bilbao,37,"D(R),M(CR)",32(3),2949,1,3,0.5,0.9,0.3,0.5,0.2,0.7,0.5,6.90
Abraham Minero,Real Zaragoza,33,D(L),17(5),1427,1,1,0.4,0.6,0.3,0.3,-,0.3,0.4,6.89
Mehdi Lacen,Getafe,35,M(C),26(7),2421,1,1,0.5,0.6,0.6,0.7,-,1.2,0.6,6.89
Cristian Álvarez,Espanyol,33,GK,23,2061,-,-,-,-,-,0.3,-,-,-,6.89
