Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Prejuce Nakoulma,Nantes,32,"AM(LR),FW",10(1),821,6,-,2.2,0.9,1.1,1.5,0.5,2.3,3,6.91
Lois Diony,Dijon,26,"AM(L),FW",31(4),2815,11,8,1.7,1.5,1.5,1.5,0.6,2.7,3.1,6.91
Alaeddine Yahia,Caen,37,D(C),31(1),2551,1,-,0.7,0.2,0.3,1.2,0.1,0.1,0.4,6.91
Nicolas Pallois,Bordeaux,31,D(C),31,2790,2,1,0.4,0.2,0.4,0.7,0.1,0.3,0.3,6.91
Nicolas Saint-Ruf,Montpellier,26,D(C),7,621,-,1,0.1,0.1,-,1.1,0.1,0.3,-,6.90
Damien Da Silva,Caen,31,D(C),36,3169,-,1,0.4,0.2,0.5,0.9,-,0.3,0.4,6.90
Léo Lacroix,Saint-Etienne,27,D(C),18(2),1679,-,-,0.4,0.1,0.3,0.4,0.1,0.1,0.6,6.90
Dante,Nice,35,D(C),33,2970,-,3,0.2,0.2,0.2,0.6,-,0.1,0.2,6.90
Malcom,Bordeaux,22,AM(CLR),33(4),2742,7,4,1.8,1.4,1.1,1.5,0.2,1.5,1.6,6.90
Danijel Subasic,Monaco,34,GK,36,3240,-,-,-,-,0.1,0.2,-,-,-,6.90
Valentín Vada,Bordeaux,23,M(C),25(3),1896,6,2,1.1,1.5,0.7,0.9,0.1,1.1,1.2,6.90
Thiago Motta,Paris Saint-Germain,36,M(C),25(5),2228,-,-,0.4,0.7,0.2,0.5,-,0.4,0.4,6.89
Emiliano Sala,Nantes,28,FW,29(5),2567,12,4,2,0.9,0.7,1.4,1,2.1,2.3,6.89
Alassane Pléa,Nice,26,"AM(LR),FW",22(3),1850,11,2,2.9,1,0.9,1.4,0.8,2.2,2.4,6.89
Jimmy Briand,Guingamp,33,"M(LR),FW",32(2),2884,12,5,2.1,0.9,0.8,2.1,0.4,2.1,3.4,6.88
Jimmy Cabot,Lorient,25,AM(LR),11(14),1270,5,4,1,1.1,1.6,0.6,-,1.4,1.3,6.88
Benoit Pedretti,Nancy,38,M(C),21(5),1873,1,2,0.8,1.9,0.2,0.9,-,0.9,0.9,6.88
Joffrey Cuffaut,Nancy,31,D(R),29(1),2570,1,1,0.6,0.2,1,1.3,0.1,0.7,1,6.88
Moustapha Diallo,Guingamp,33,M(C),22(4),1751,5,2,1.9,0.4,0.1,1.7,0.5,0.8,0.9,6.88
Matthieu Dreyer,Caen,30,GK,2,180,-,-,-,-,-,-,-,-,-,6.88
Casimir Ninga,Montpellier,26,"AM(LR),FW",6(3),515,5,2,2,0.6,0.9,0.2,0.4,2.2,1.8,6.87
Martin Braithwaite,Toulouse,28,"AM(CLR),FW",33(1),2948,11,3,2.9,0.7,1.1,1.6,0.3,1.1,2.1,6.87
Mickael Nade,Saint-Etienne,20,Defender,1,90,-,-,-,-,1,1,-,-,1,6.87
Vincent Rüfli,Dijon,31,D(LR),17(2),1482,-,2,0.5,0.6,0.1,1.5,-,0.9,0.8,6.87
Ibrahim Amadou,Lille,26,"D(C),DMC",34(1),2956,1,1,0.5,0.4,0.7,0.5,-,0.6,0.7,6.87
Grzegorz Krychowiak,Paris Saint-Germain,29,"D(C),M(C)",7(4),659,-,-,0.5,0.3,0.2,1,-,0.5,0.5,6.87
Diego Carlos,Nantes,26,D(C),34,2951,2,-,0.6,0.2,0.2,0.3,0.1,0.2,0.2,6.87
Iván Balliu,Metz,27,D(R),26(1),2331,-,5,0.1,0.5,0.6,1.1,-,0.6,0.7,6.86
Baptiste Reynet,Dijon,28,GK,37,3330,-,-,-,-,0.1,0.4,-,-,0.1,6.86
Anthony Walongwa,Nantes,25,D(C),3,250,-,-,-,-,-,1,-,0.7,-,6.86
Yunis Abdelhamid,Dijon,31,D(C),15(3),1314,-,-,0.5,0.2,0.6,0.4,0.1,0.4,0.6,6.86
Anthony Lopes,Lyon,28,GK,36,3240,-,1,-,0.1,-,0.2,-,-,-,6.86
Stéphane Sessegnon,Montpellier,35,M(CLR),26(1),2316,2,2,1.7,1.3,2.5,1.8,0.1,1.6,1.6,6.85
Lucas Deaux,Guingamp,30,"D(C),DMC",35(3),3079,2,5,0.5,0.6,0.6,0.6,0.1,1,1.3,6.85
Oussama Haddadi,Dijon,27,D(CL),12(1),1078,-,2,0.4,1.3,0.5,0.1,0.1,0.9,1.3,6.85
