Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Antonio Cassano,AC Milan,36,"AM(CL),FW",9(8),923,0.2,0.1,0.6,-,-,-,-,-,6.93
Sergio Pellissier,Chievo,40,FW,35,3058,0.8,0.7,1.1,-,-,0.2,0.1,-,6.92
Manuel Pasqual,Fiorentina,37,"D(L),M(L)",33(1),2997,2.4,1.6,1.3,0.6,3.5,0.8,0.1,-,6.92
Alessandro Matri,Juventus,34,FW,15(1),1256,0.4,0.3,0.8,-,0.1,0.1,0.1,-,6.92
Rafinha,Genoa,33,"D(CLR),M(R)",28(6),2613,2.2,1,1.3,-,2.3,0.5,0.2,-,6.91
Michele Canini,Cagliari,34,D(C),36,3240,2.8,1.9,1.2,1,7.8,0.7,0.5,-,6.91
Alessandro Parisi,Bari,42,D(CL),27,2281,2.2,2.3,1.4,0.4,4,1,0.2,-,6.91
Walter Gargano,Napoli,34,DMC,29(7),2619,2.4,1.1,1.4,-,0.8,1.1,0.1,-,6.91
Alessandro Del Piero,Juventus,44,"AM(CL),FW",19(14),1825,0.5,0.1,1.2,-,0.1,0.2,0.1,-,6.91
Alessandro Lucarelli,Parma,41,D(C),32,2880,2.3,2.4,1.7,0.6,6.9,0.8,0.8,-,6.90
Nicola Belmonte,Bari,32,M(R),25(1),2138,2.5,2.3,1.1,0.6,5.8,0.6,0.4,-,6.90
Juan Camilo Zuñiga,Napoli,33,"D(LR),M(L)",15(12),1542,1.3,1.1,0.7,0.1,1.4,0.2,0.1,-,6.90
Reto Ziegler,Sampdoria,33,"D(CL),M(L)",32(2),2922,1.6,1.6,1.2,0.1,3.6,0.5,0.1,-,6.90
Luca Antonini,AC Milan,36,"D(CL),M(L)",18(4),1623,1.6,2.1,0.8,0.1,2.9,0.4,0.1,-,6.90
Nicolás Córdova,Brescia,40,"D(C),DMC",17(4),1465,1.4,1.4,0.7,-,0.9,0.8,0.5,-,6.90
Omar Milanetto,Genoa,43,"D(C),DMC",28(3),2448,1.5,1.1,1.3,-,1.2,0.9,0.4,-,6.90
Paulo Barreto,Bari,33,FW,13,992,0.6,0.8,0.8,-,0.1,0.2,-,-,6.90
Christian Terlizzi,Catania,39,D(C),9(3),942,1.5,2.2,0.3,1.6,5.1,0.5,0.7,-,6.89
Jean-François Gillet,Bari,40,GK,36,3240,-,-,-,-,0.8,-,-,-,6.89
Marco Biagianti,Catania,35,M(C),15,1287,3.1,2.9,1.6,-,1.1,1.1,-,-,6.89
Francesco Valiani,Parma,38,M(C),31(4),2791,2.7,1.3,1.6,-,1,0.8,0.2,-,6.89
Cicinho,Roma,39,D(R),3(3),353,2.2,1.2,0.8,0.2,1.2,1,0.2,-,6.89
Adrian Mutu,Fiorentina,40,FW,18(2),1526,0.8,0.2,2.3,-,0.4,0.3,0.1,-,6.88
Massimo Paci,Parma,41,D(C),18(1),1557,1.9,2.6,2.1,0.4,7.1,0.3,0.7,-,6.88
Ronaldinho,AC Milan,39,AM(C),7(4),606,0.3,0.4,0.5,-,-,0.4,-,-,6.88
Stefano Lucchini,Sampdoria,38,D(C),26,2081,2,2.7,1.3,0.8,8,0.6,0.4,-,6.87
Andrea Mantovani,Chievo,35,D(C),31,2757,1.3,2.6,2,0.2,7,0.5,0.3,-,6.87
Nicolas Burdisso,Roma,38,D(C),28,2415,1.1,2.4,1.3,1.1,7,0.4,0.8,-,6.87
Fabrizio Cacciatore,Sampdoria,32,D(LR),5,392,1.8,1.2,0.6,0.4,2.2,0.4,0.2,-,6.87
