Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Vasilis Torosidis,Roma,34,"D(CLR),M(R)",9(2),821,-,0.4,28.2,82.3,0.8,0.7,-,7.01
Federico Peluso,Atalanta,35,"D(CL),M(L)",13,1065,1,0.4,32,80,0.7,1.2,-,7.01
Blerim Dzemaili,Napoli,33,M(C),19(15),1954,2,1,33.2,87.4,0.3,2.4,0.2,7.01
Giovanni Marchese,Catania,34,"D(CL),M(L)",29(1),2655,2,0.8,35.3,77.1,0.5,0.9,0.1,7.01
Kevin-Prince Boateng,AC Milan,32,"M(CLR),FW",25(4),2135,4,1.8,37,82.4,0.6,2.7,0.3,7.01
Juan Jesus,Inter,28,D(CL),31,2700,1,0.2,41.1,86.1,0.3,3,-,6.99
Francesco Acerbi,Chievo,31,D(C),5(2),444,-,-,35.4,86.7,-,5.4,-,6.99
Lorenzo De Silvestri,Sampdoria,31,"D(R),M(R)",19(5),1838,-,0.8,28.5,78.4,0.9,0.6,-,6.99
Massimo Donati,Palermo,38,"D(C),DMC",26(2),2172,-,0.6,49,85.9,-,6.9,0.1,6.99
Tommaso Berni,Sampdoria,36,GK,3(1),235,-,-,19.3,64.9,-,7.8,-,6.99
Nicola Pavarini,Parma,45,GK,6(1),487,-,-,20.3,55.6,-,7.3,-,6.99
Adrián Calello,Robur Siena,32,M(C),8(1),733,-,0.6,36,82.4,-,3.3,-,6.99
Cristian Ledesma,Lazio,36,M(C),35(1),2961,1,1.2,56,79.8,0.6,7.9,0.3,6.99
Francesco Della Rocca,Robur Siena,31,M(C),16(1),1446,-,0.6,47.1,83.1,0.3,2.9,0.2,6.98
Andrea Poli,Sampdoria,29,M(CL),31,2511,-,0.7,33.5,85.4,0.2,1.6,0.2,6.98
Enzo Maresca,Sampdoria,39,M(C),15(1),1144,1,1.3,59.8,83.9,0.9,6.5,0.4,6.98
Edgar Barreto,Palermo,34,M(C),30,2659,-,1.5,59.2,82.6,0.4,2.8,0.1,6.98
Federico Agliardi,Bologna,36,GK,20(2),1895,-,-,21.1,57.5,-,6.6,-,6.98
Claudio Terzi,Robur Siena,35,D(C),8,720,-,0.3,39.5,75.3,0.3,4,-,6.98
Paolo Dellafiore,Robur Siena,34,"D(CLR),M(LR)",2,180,-,0.5,39,87.2,-,8,-,6.98
Gonzalo Bergessio,Catania,34,FW,32,2678,6,1,22.2,69.3,0.1,0.4,0.2,6.98
Thomas Heurtaux,Udinese,30,D(CR),13(4),1255,-,0.2,27.6,82.9,0.1,1.8,-,6.98
Javier Zanetti,Inter,45,"D(R),DMC,M(R)",33,2860,1,0.5,37.5,91.6,0.3,1.9,0.1,6.98
Saphir Taïder,Bologna,27,M(C),32(2),2879,2,0.6,44.7,87.5,0.1,3.6,-,6.98
Angelo Palombo,Sampdoria,37,"D(C),DMC",15,1326,-,0.2,40.5,86.8,-,6.7,0.1,6.97
Goran Pandev,Napoli,35,"M(CR),FW",25(8),2091,7,1.5,20.8,79.4,0.5,0.9,0.6,6.97
Víctor Ibarbo,Cagliari,29,"AM(LR),FW",22(12),2071,1,1.1,18.9,78,0.5,1,0.1,6.97
Albin Ekdal,Cagliari,29,M(C),27(4),2350,1,0.5,33,81.6,0.1,1.7,0.1,6.97
Frederik Sörensen,Bologna,27,D(CR),20(5),1825,1,0.3,27.4,81.9,-,3.2,-,6.97
Daniele De Rossi,Roma,35,"D(C),M(C)",21(4),1757,3,0.8,52.8,84,0.2,7,0.2,6.97
Marco Borriello,Genoa,37,FW,26(2),2345,1,1,21.9,74.2,0.1,0.6,0.1,6.96
Giuseppe Bellusci,Catania,29,D(CR),22(4),2082,-,0.3,27.8,80.2,0.1,2.6,-,6.96
Daniele Gastaldello,Sampdoria,36,D(C),33,2874,1,0.2,35,87.5,0.1,3.5,-,6.96
Lorik Cana,Lazio,35,D(C),13(11),1422,-,0.3,25.3,83.8,-,3,-,6.96
Gianluca Grava,Napoli,42,"D(C),M(R)",2,147,-,-,27,87,-,3,-,6.96
Urby Emanuelson,AC Milan,33,"D(L),M(CLR)",8(4),740,3,2.1,28.7,86,1.6,1.9,0.4,6.96
Luca Rossettini,Cagliari,34,D(CR),28,2428,1,0.1,39.1,85.8,-,5.1,-,6.96
Cristiano Del Grosso,Atalanta,36,"D(L),M(L)",13,1061,-,0.8,28.5,70.6,1.2,2,-,6.95
Cristian Zaccardo,AC Milan,37,D(CR),0(1),45,-,-,35,97.1,-,1,-,6.95
Andrea Lazzari,Udinese,34,M(C),21(3),1684,4,1.3,33.5,71.9,1,2.3,0.2,6.95
Matteo Contini,Robur Siena,39,D(C),10,894,-,0.1,28.4,83.5,-,5,0.1,6.95
Lionel Scaloni,Atalanta,41,D(R),6(1),530,-,0.4,31.6,86,0.9,2.3,0.1,6.95
Lorenzo Insigne,Napoli,28,"AM(CL),FW",16(21),1752,7,1.4,23.3,82.1,0.6,0.7,0.5,6.95
Nenad Tomovic,Fiorentina,31,D(CLR),23(3),2051,-,0.3,40.8,89.3,0.2,2.6,-,6.95
Stephan Lichtsteiner,Juventus,35,"D(R),M(R)",25(3),2074,2,1,27.7,82.2,0.6,0.7,-,6.94
Archimede Morleo,Bologna,35,"D(L),M(L)",28(4),2442,3,0.7,25.3,73.2,1,0.7,0.1,6.94
Giampiero Pinzi,Udinese,38,M(C),17(2),1390,2,0.6,34.4,83.2,0.2,1.9,0.1,6.94
Cristian Zaccardo,Parma,37,D(CR),14(1),1251,1,0.3,41.5,86.3,0.3,2,-,6.94
Nigel de Jong,AC Milan,34,M(C),10(2),893,-,0.6,59.8,92.6,-,9.8,-,6.94
Alberto Aquilani,Fiorentina,34,M(C),20(5),1666,6,0.9,40.6,83.6,0.2,3.9,0.1,6.94
Massimo Paci,Robur Siena,41,D(C),20(3),1828,2,0.1,21.5,82,-,1.8,-,6.94
Guillermo Rodríguez,Torino,35,D(C),20(2),1871,-,-,52.3,92.6,-,5.8,-,6.94
Nicolò Cherubin,Bologna,32,D(CL),29,2506,1,0.3,34.9,81.4,0.1,2.1,-,6.93
Mariano Andújar,Catania,35,GK,34,3060,-,-,28.5,41.9,-,6.8,-,6.93
Ricardo Álvarez,Inter,31,AM(CR),12(11),1177,1,1.1,25,88.2,0.5,1.3,-,6.93
Senad Lulic,Lazio,33,"D(L),M(CL)",29(4),2604,6,1,32.1,80.4,0.6,1.9,0.1,6.93
Alexis Rolín,Catania,30,D(C),9(2),816,-,0.1,26,82.2,-,2.7,-,6.93
Gaetano D'Agostino,Pescara,37,M(C),7,472,1,0.4,54.9,77.3,0.7,7.4,-,6.92
Luca Marrone,Juventus,29,"D(C),DMC",8(2),754,-,0.3,48.9,91.8,-,6.1,-,6.91
Zeljko Brkic,Udinese,32,GK,31,2662,-,-,20.9,43.9,-,5.1,-,6.91
Andrea Consigli,Atalanta,32,GK,35,3131,-,-,26.1,49.6,-,9.8,-,6.91
Mikael Antonsson,Bologna,38,D(C),31,2734,-,0.1,30.2,85.7,-,2,-,6.91
Thomas Manfredini,Atalanta,39,D(C),15,1246,-,0.1,31.4,86.4,-,2.7,0.1,6.91
Bojan Jokic,Chievo,33,"D(CL),M(L)",13(7),1366,1,0.6,27.3,77.4,0.9,0.9,0.1,6.91
Alessio Romagnoli,Roma,24,D(CL),1(1),99,-,-,17,82.4,-,-,-,6.90
Christian Terlizzi,Pescara,39,D(C),11,898,-,0.1,30.5,88.7,-,2.7,-,6.90
Stefano Lucchini,Atalanta,38,D(C),19(2),1696,2,0.1,23.8,82.8,-,1.7,-,6.90
Giacomo Bonaventura,Atalanta,29,M(CLR),31(4),2641,2,0.8,29.9,81.1,0.7,0.7,0.1,6.90
Bogdan Lobont,Roma,41,GK,5,406,-,-,19.6,76.5,-,7,-,6.90
Éder,Sampdoria,32,"AM(CLR),FW",24(6),2059,4,0.9,18.4,78.8,0.3,0.5,0.1,6.89
Sulley Muntari,AC Milan,34,M(C),11(4),969,-,0.5,42.3,84.5,0.1,6.1,0.1,6.89
Giuseppe Colucci,Pescara,38,DMC,9(2),782,2,0.7,38.6,82.4,-,3.7,0.2,6.89
Michael Bradley,Roma,31,"D(C),M(C)",24(6),2202,2,0.8,44.9,89.4,0.2,2.2,0.3,6.89
Rene Krhin,Bologna,29,DMC,12(9),1310,-,0.6,31.2,84.1,-,1.3,-,6.89
Mariano Izco,Catania,36,"D(R),M(CR)",31(4),2810,3,0.7,30.1,84.1,0.3,1.1,-,6.89
Fabrizio Miccoli,Palermo,40,FW,23(7),1905,8,1.5,14.5,74.3,1,0.7,0.2,6.88
Massimo Ambrosini,AC Milan,42,M(C),17(4),1244,1,0.4,38,87.2,0.1,3.4,-,6.88
Bosko Jankovic,Genoa,35,M(LR),16(3),1432,1,1,17.6,68.1,0.6,0.5,0.2,6.88
Walter Gargano,Inter,34,DMC,24(4),2114,2,0.7,49.8,83.9,0.1,4.3,0.1,6.88
Roberto Pereyra,Udinese,28,M(CLR),31(6),2808,1,1.1,29.5,86.2,0.6,0.7,0.1,6.88
Rubén Olivera,Fiorentina,36,M(C),4,302,-,0.8,45.3,83.4,-,2.5,-,6.88
Juan Quintero,Pescara,26,AM(C),12(5),1022,2,1.1,42.3,87.3,0.6,4.2,0.3,6.87
Mario Santana,Torino,37,M(L),21(6),1763,2,0.7,18,73.8,0.7,0.9,0.1,6.87
Andrea Bertolacci,Genoa,28,M(C),24(5),2030,3,1.2,24.1,78.9,0.4,1.3,0.2,6.86
Matteo Rubin,Robur Siena,31,"D(L),M(L)",23(2),2073,4,1.2,29.9,74.5,1.2,1.8,-,6.86
Sergio Almirón,Catania,38,M(C),26(4),1964,-,0.4,31.5,84.2,0.1,1.5,0.1,6.85
Angelo Ogbonna,Torino,31,D(C),22,1964,-,0.3,55.1,92.7,-,5.5,-,6.85
Marquinho,Roma,32,M(CL),11(15),1264,-,0.7,21.3,81.9,0.3,0.5,0.1,6.85
Danilo D'Ambrosio,Torino,30,"D(CLR),M(LR)",22(6),1963,3,0.4,32.2,81.7,0.3,2.2,-,6.85
Emiliano Viviano,Fiorentina,33,GK,32,2863,-,0.1,26.5,64.2,-,7.3,-,6.85
