Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Enzo Pérez,Valencia,33,M(CR),12(2),1036,-,1,7,-,0.4,85,1.1,-,6.84
Thomas Vermaelen,Barcelona,33,D(CL),1,63,-,-,-,-,1,93,-,-,6.84
Andoni Iraola,Athletic Bilbao,37,"D(R),M(CR)",16(6),1536,1,1,5,-,0.6,79.4,0.9,-,6.84
Dani García,Eibar,29,DMC,34,2966,1,2,10,1,0.5,78.1,1.7,1,6.83
Juanfran,Atletico Madrid,34,D(R),34(1),3102,-,4,6,-,0.2,76.6,0.5,-,6.83
Nacho,Real Madrid,29,D(CLR),5(9),636,1,-,1,-,0.1,91.6,0.6,-,6.83
Stéphane Mbia,Sevilla,33,"D(C),M(C)",17(6),1462,4,-,9,-,1,81.5,2.3,-,6.83
Diego Alves,Valencia,34,GK,37,3312,-,-,4,-,-,52.7,0.5,1,6.82
Joaquín Larrivey,Celta Vigo,34,FW,26(9),2208,11,2,5,-,1.8,66.6,4.5,2,6.82
Bueno,Rayo Vallecano,31,"AM(CL),FW",35(1),2889,17,4,4,-,2.6,78.2,0.4,3,6.82
Nacho,Rayo Vallecano,30,D(LR),11(2),941,-,1,5,-,0.4,72.5,1.2,-,6.81
Thomas Partey,Almeria,26,"D(R),DMC,M(R)",28(3),2368,4,-,13,-,1,81.4,1.2,2,6.81
Markel Susaeta,Athletic Bilbao,31,M(LR),20(11),1803,1,7,2,-,1,75.8,0.8,-,6.81
Sergi Darder,Malaga,25,"DMC,M(L)",33(1),2771,4,-,10,1,1.8,80.1,0.7,1,6.81
Damián Suárez,Elche,31,D(R),34,3040,1,1,11,1,0.4,70.7,0.8,2,6.81
Pape Diop,Levante,33,M(C),18(1),1546,-,1,7,-,0.8,67.7,2.3,1,6.81
José Crespo,Cordoba,32,"D(CL),M(R)",26(1),2121,-,-,7,-,0.2,72.6,1.4,-,6.80
Tomás Pina,Villarreal,31,M(C),17(5),1450,-,3,4,1,0.6,78.3,2.2,1,6.80
Unai Bustinza,Athletic Bilbao,27,D(CR),1(1),98,-,-,-,1,-,65.7,2,-,6.80
Bebé,Cordoba,28,"AM(LR),FW",16(2),1467,-,1,5,-,2.9,71.6,0.6,-,6.80
Diego Mainz,Granada,36,D(C),18(5),1722,3,-,3,-,0.4,83.6,2.4,3,6.80
Rafinha,Barcelona,26,M(CR),13(11),1152,1,1,2,-,0.5,91.8,0.2,-,6.80
Álvaro Arbeloa,Real Madrid,36,D(LR),12(10),1107,1,5,7,-,0.1,89.4,1,1,6.80
Markel Bergara,Real Sociedad,33,M(C),24(6),2125,1,-,9,-,0.4,81.4,1.3,1,6.80
Chicharito,Real Madrid,31,FW,7(16),859,7,4,2,-,1.3,82.2,0.3,-,6.79
Rodrigo Moreno,Valencia,28,"M(CLR),FW",24(7),2087,3,4,5,2,1.7,72.1,1,-,6.79
Luciano Vietto,Villarreal,25,"AM(R),FW",17(15),1895,12,2,5,-,2.4,72.8,0.3,1,6.79
Lucas Orban,Valencia,30,D(CL),8(14),889,1,1,4,-,-,75.2,1.2,3,6.79
Emiliano Insúa,Rayo Vallecano,30,"D(L),M(L)",21(3),1795,1,2,7,-,0.7,79.6,1,3,6.79
Beñat Etxebarria,Athletic Bilbao,32,M(C),20(8),1712,2,2,4,-,0.9,79.9,0.5,2,6.79
Rubén Duarte,Espanyol,23,D(L),11,990,-,-,4,-,0.3,71.6,1,-,6.79
Sergio Sánchez,Malaga,33,D(CR),19(2),1708,-,-,7,-,0.2,80.1,1.5,-,6.79
Guilherme Siqueira,Atletico Madrid,33,D(L),24(1),2083,1,1,5,2,0.4,75.2,0.5,2,6.78
Alberto de la Bella,Real Sociedad,33,D(L),21(2),1907,1,2,4,-,0.5,74.9,1.5,1,6.78
Borja Fernández,Eibar,38,M(C),14(2),1129,1,-,3,-,0.8,65.9,2.7,-,6.78
Álex Bergantiños,Deportivo La Coruna,34,M(C),29(3),2628,-,1,5,-,0.4,78.4,1.6,1,6.78
Daniel Larsson,Granada,32,"AM(CLR),FW",0(1),45,-,-,-,-,-,86.7,-,-,6.78
Karim Yoda,Getafe,30,"D(L),M(R)",12(6),1034,4,1,-,-,1.5,72.2,0.3,2,6.78
Míchel Macedo,Almeria,29,D(R),13(1),1206,2,-,1,2,1,74,0.6,-,6.78
Iker Casillas,Real Madrid,38,GK,32,2880,-,-,-,-,-,63.4,0.3,1,6.78
Wellington Silva,Almeria,26,AM(LR),23(8),1991,-,2,6,-,0.7,69.7,0.2,-,6.78
Deivid,Cordoba,30,"D(C),DMC",21,1806,-,-,4,-,0.3,87.5,1.7,-,6.77
Aleksandar Pantic,Cordoba,27,D(C),27(2),2368,-,-,6,1,0.4,78,2.7,1,6.77
Álvaro Negredo,Valencia,33,FW,14(16),1532,5,4,4,-,1.8,63.3,3.2,1,6.77
Diego Colotto,Espanyol,38,D(C),23(1),1887,1,-,3,1,0.5,68.2,1.9,1,6.77
Marcos Angeleri,Malaga,36,D(CR),21(1),1879,-,-,3,2,0.1,75.4,1.4,-,6.77
Ikechukwu Uche,Villarreal,35,FW,19(4),1386,6,1,2,-,1.8,65.5,1.7,1,6.77
David Zurutuza,Real Sociedad,32,M(CL),12(4),999,2,-,2,-,0.4,74.7,2.4,1,6.76
Álvaro González,Espanyol,29,D(C),34(2),3047,1,-,11,-,0.3,74.6,1.9,1,6.76
Robert Ibáñez,Granada,26,AM(R),12(5),1067,5,1,-,-,1.3,79.4,0.6,1,6.76
Juan Rodríguez,Getafe,37,M(C),32(2),2770,1,-,6,-,0.6,77.5,2.9,-,6.76
Gerónimo Rulli,Real Sociedad,27,GK,22,1980,-,-,5,-,-,52.7,0.4,2,6.76
Javi Guerra,Malaga,37,FW,7(6),683,5,-,-,-,2.2,80.3,1.6,1,6.76
Pedro,Barcelona,31,M(CLR),15(20),1531,6,6,3,-,1.1,86.9,0.1,-,6.76
Jonathan dos Santos,Villarreal,29,M(CR),17(11),1632,2,1,5,-,0.5,81.2,0.5,1,6.75
José Luis Morales,Levante,31,"D(R),M(CLR),FW",33(3),2797,3,3,3,-,1.2,75.1,0.6,-,6.75
Gerard Moreno,Villarreal,27,"AM(C),FW",19(7),1617,7,3,2,-,1.6,71.4,1.8,2,6.75
Verza,Almeria,32,M(C),33,2852,4,3,10,-,0.6,78.3,0.7,1,6.75
Leo Baptistão,Rayo Vallecano,26,"AM(CLR),FW",22(3),1796,7,1,3,-,1.8,64.4,1.2,3,6.75
Fabri,Deportivo La Coruna,31,GK,32,2746,-,-,3,-,-,44.1,0.5,2,6.74
Raúl Baena,Rayo Vallecano,30,M(C),28,2345,2,-,13,1,0.6,85.4,1.8,2,6.74
Domingo Cisma,Elche,37,D(L),24(1),2157,-,1,9,1,0.1,72.5,1,-,6.74
Samu García,Malaga,28,"AM(R),FW",27(5),2244,5,1,7,1,1.1,68.4,1.3,2,6.74
David Navarro,Levante,39,D(C),21,1789,-,-,6,1,0.7,74,2.2,-,6.73
Mikel González,Real Sociedad,33,D(C),14(2),1238,-,-,5,1,0.1,79.5,1.5,-,6.73
Javi Lara,Eibar,33,AM(L),16(15),1694,1,3,3,-,0.9,74.4,0.3,1,6.73
Pablo Sarabia,Getafe,27,"D(L),M(CLR)",31(4),2606,2,5,10,-,1.3,72.9,0.5,1,6.73
Rubén Martínez,Almeria,35,GK,23,2070,-,-,2,-,-,47.2,0.6,1,6.73
Víctor Casadesús,Levante,34,"AM(C),FW",26(9),2429,8,2,6,-,1.4,67.2,3.9,2,6.73
Eneko Bóveda,Eibar,30,D(CR),35,3138,1,3,5,-,0.7,68.1,1.9,1,6.73
Daniel Pinillos,Cordoba,26,D(L),9(3),863,-,-,5,1,-,74.2,3.5,-,6.73
Mario Suárez,Atletico Madrid,32,M(C),11(9),1128,1,-,9,-,0.7,82.4,1.4,1,6.72
Gorka Iraizoz,Athletic Bilbao,38,GK,34,3060,-,-,3,-,-,47.7,0.4,-,6.72
David Lombán,Elche,32,D(C),33(1),2985,5,-,10,-,0.6,81,1.8,-,6.72
Javier Espinosa,Villarreal,26,AM(LR),3(3),289,1,-,1,-,1,75.9,0.2,-,6.72
Mikel Rico,Athletic Bilbao,34,M(C),32(4),2796,3,2,3,-,0.9,76.8,0.8,-,6.72
Adrián Gunino,Cordoba,30,D(R),21(2),1901,-,-,4,-,-,75.5,1.2,-,6.72
Arthur Boka,Malaga,36,"D(L),M(C)",18(5),1699,-,1,2,-,1,76.1,0.5,-,6.71
Toño,Rayo Vallecano,39,GK,20(1),1738,-,-,3,-,-,69.7,0.3,-,6.71
David Barral,Levante,36,FW,32(3),2642,11,-,11,-,2.1,72.8,2.3,4,6.71
Rubén Rochina,Granada,28,M(CLR),12(7),1136,2,1,4,-,2.2,72.6,0.6,1,6.71
Gerard Deulofeu,Sevilla,25,"AM(LR),FW",10(7),783,1,5,-,-,0.9,72.8,0.1,-,6.71
Aurtenetxe,Athletic Bilbao,27,D(CL),3(1),286,-,-,-,-,0.5,68.6,1,-,6.71
Timothée Kolodziejczak,Sevilla,27,D(CL),18,1576,1,-,3,-,0.2,81.4,0.6,-,6.71
Sergi Roberto,Barcelona,27,"D(R),M(CR)",4(8),507,-,-,-,-,0.3,94.7,1.3,-,6.70
Jean-Sylvain Babin,Granada,32,D(C),34,3031,1,-,2,-,0.3,77.9,2.1,1,6.70
Gurpegi,Athletic Bilbao,38,"D(C),M(C)",15(8),1431,1,-,7,-,0.2,79.2,1.8,-,6.70
