Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Dusan Tadic,Southampton,30,"AM(CLR),FW",34(2),2813,6,3,4,-,1.1,74.8,0.2,2,6.78
Olivier Giroud,Chelsea,32,FW,6(7),610,3,1,-,-,2.3,64.4,3.5,1,6.78
Jonny Evans,West Bromwich Albion,31,D(CL),26(2),2273,2,2,7,-,0.4,80,1.9,1,6.78
Steve Mounie,Huddersfield,24,FW,21(7),1858,7,1,2,-,1.8,62,5.2,3,6.78
Salomón Rondón,West Bromwich Albion,29,FW,32(4),2772,7,3,4,-,2.2,66.9,4.6,2,6.78
Adrián,West Ham,32,GK,19,1710,-,-,2,-,-,42.5,0.2,-,6.78
Steven Defour,Burnley,31,DMC,24,2009,1,1,6,-,0.8,83.8,0.2,-,6.77
Calum Chambers,Arsenal,24,"D(CR),DMC",10(2),869,-,-,1,-,0.8,83.3,2.3,-,6.77
Aleksandar Dragovic,Leicester,28,D(C),7(4),767,-,-,2,-,0.1,85.2,1.2,-,6.76
Daryl Janmaat,Watford,29,"D(R),M(R)",21(2),1822,3,-,3,-,1,75.9,1.2,1,6.76
Daniel Sturridge,Liverpool,29,"M(R),FW",5(4),431,2,1,-,-,2.3,80.3,0.2,-,6.76
Jonathan Hogg,Huddersfield,30,DMC,29(1),2408,-,-,8,1,0.4,85.1,1.2,1,6.76
Jack Butland,Stoke,26,GK,35,3150,-,-,-,-,-,46.1,0.2,2,6.76
José Holebas,Watford,35,"D(L),M(L)",26(2),2382,-,4,7,-,0.6,68.4,1.6,-,6.76
Federico Fernández,Swansea,30,D(C),30,2677,1,1,5,-,0.3,82.3,2.4,1,6.76
Mame Biram Diouf,Stoke,31,"M(LR),FW",30(5),2602,6,2,6,-,1.7,57.3,4.1,2,6.76
Paul Dummett,Newcastle United,27,D(CL),19(1),1603,-,-,1,-,0.2,69.4,2.8,-,6.76
Marcus Rashford,Manchester United,21,"AM(LR),FW",17(18),1810,7,5,3,-,1.7,78.3,0.5,1,6.76
Kiko Femenía,Watford,28,"D(R),M(R)",19(4),1715,1,1,2,-,0.4,83.2,0.4,-,6.76
Charlie Taylor,Burnley,25,"D(L),M(L)",10(1),949,-,-,3,-,-,66.9,2.1,-,6.75
DeAndre Yedlin,Newcastle United,25,"D(R),M(R)",31(3),2842,-,2,5,-,0.2,75,1.4,-,6.75
Angelo Ogbonna,West Ham,31,D(C),32,2880,1,-,3,-,0.3,79.8,2.5,-,6.75
Davy Pröpper,Brighton,27,M(C),35,3120,-,4,2,1,1,78.1,1.4,-,6.75
James McArthur,Crystal Palace,31,M(CLR),27(6),2434,5,1,5,-,0.9,79.1,1.2,-,6.75
Petr Cech,Arsenal,37,GK,34,3040,-,-,1,-,-,65.4,0.4,1,6.75
Pablo Zabaleta,West Ham,34,"D(R),DMC,M(R)",37,3291,-,1,9,-,0.2,73.2,1.6,-,6.74
Danny Rose,Tottenham,28,"D(L),M(L)",9(1),802,-,1,4,-,0.7,81.5,0.8,-,6.74
Hugo Lloris,Tottenham,32,GK,36,3240,-,-,1,-,-,75.2,0.3,1,6.74
Wayne Hennessey,Crystal Palace,32,GK,27,2430,-,-,1,-,-,46.2,0.4,1,6.74
Joselu,Newcastle United,29,FW,19(11),1716,4,1,2,-,1.6,62.7,4.8,-,6.74
Cenk Tosun,Everton,28,FW,12(2),991,5,-,-,-,1.4,70.3,2.2,-,6.74
Etienne Capoue,Watford,30,"D(C),M(CL)",18(5),1542,1,-,3,-,1,82.4,1.8,-,6.74
Michel Vorm,Tottenham,35,GK,1,90,-,-,-,-,-,87.5,-,-,6.74
Jack Cork,Burnley,30,DMC,38,3420,2,1,7,-,0.4,80.6,1.5,-,6.74
Will Hughes,Watford,24,M(CR),11(4),995,2,3,-,-,0.8,79.7,0.2,1,6.74
João Mário,West Ham,26,M(CLR),12(1),1027,2,1,-,-,1.2,81.3,0.5,-,6.74
Ayoze Pérez,Newcastle United,25,"AM(CLR),FW",28(8),2497,8,5,3,-,1.7,71.3,1.2,3,6.74
Mat Ryan,Brighton,27,GK,38,3420,-,-,-,-,-,48,0.3,1,6.74
Matt Phillips,West Bromwich Albion,28,"M(CLR),FW",23(7),2097,2,2,3,-,0.9,72.6,1.2,-,6.73
Lewis Cook,Bournemouth,22,M(CL),25(4),2239,-,2,5,-,0.6,79.4,0.5,-,6.73
Ilkay Gündogan,Manchester City,28,M(C),15(15),1510,4,1,3,-,1.2,91.7,0.1,-,6.73
Martin Dubravka,Newcastle United,30,GK,12,1080,-,-,-,-,-,54.1,0.3,-,6.73
Adam Smith,Bournemouth,28,"D(LR),M(R)",22(5),2069,1,3,6,-,0.5,82.3,0.6,-,6.73
Leighton Baines,Everton,34,"D(L),M(L)",22,1910,2,3,1,-,0.3,80.1,0.6,1,6.73
Andrew Surman,Bournemouth,32,M(CL),20(5),1852,2,5,2,-,0.7,84.4,1.4,1,6.73
Erik Pieters,Stoke,30,"D(L),M(L)",30(1),2720,-,1,5,-,0.1,71.7,1.7,1,6.73
