Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Son Heung-Min,Hamburger SV,26,"M(CLR),FW",31(2),2703,2,0.8,25,77.6,0.1,1.2,0.1,7.02
Gotoku Sakai,VfB Stuttgart,28,"D(LR),DMC,M(R)",27,2404,-,0.7,42.6,78.1,0.9,2.3,-,7.02
Per Nilsson,Nuernberg,36,D(C),29,2564,-,0.1,38.4,79.6,-,5.8,-,7.02
Felipe Santana,Borussia Dortmund,33,"D(C),DMC",15(6),1464,-,-,41.6,83.4,-,3.1,-,7.02
Takashi Inui,Eintracht Frankfurt,31,AM(CLR),33,2649,5,0.8,28.3,84.5,0.3,1.2,0.2,7.01
Alexander Manninger,Augsburg,42,GK,12,1080,-,-,26.2,67.8,-,13.1,-,7.01
Nils Petersen,Werder Bremen,30,FW,30(4),2749,5,0.8,15.1,66.8,0.1,0.2,0.1,7.00
Johan Djourou,Hannover 96,32,D(C),14,1205,-,0.1,31.6,83.7,-,2.1,0.1,7.00
Tony Jantschke,Borussia M.Gladbach,29,"D(CR),DMC",31,2733,1,0.3,43.1,79.3,0.1,2.4,-,7.00
Júnior Díaz,Mainz 05,35,D(CL),15(3),1312,2,0.7,32.7,70.7,0.7,1.8,0.1,7.00
Boris Vukcevic,Hoffenheim,29,"M(CR),FW",4(1),361,-,0.4,25.6,76.6,0.4,0.2,-,7.00
Sascha Mölders,Augsburg,34,FW,23(1),1883,-,1.2,16,67.8,-,0.3,0.1,7.00
Niko Bungert,Mainz 05,32,D(C),8,657,-,0.3,32.5,79.2,0.4,4.1,0.1,6.99
Mario Gomez,Bayern Munich,33,FW,9(12),897,1,0.3,7.4,78.8,0.1,0.2,-,6.98
Zhi-Gin Lam,Hamburger SV,28,D(L),4,340,-,1.3,37,83.1,-,1.3,-,6.98
Raphael Schäfer,Nuernberg,40,GK,31,2746,-,-,29.6,65.1,-,10.4,-,6.97
Ádám Szalai,Mainz 05,31,FW,26(3),2406,3,0.8,18.3,66.8,0.1,0.3,0.3,6.97
Lumpi,Fortuna Duesseldorf,34,M(CLR),26(2),2272,4,0.6,34.6,71.3,0.1,2.5,0.1,6.97
Álvaro Domínguez,Borussia M.Gladbach,30,D(CL),30,2700,-,0.1,56.2,84.4,-,4.8,-,6.97
Robbie Kruse,Fortuna Duesseldorf,30,"AM(CLR),FW",29(1),2561,7,1.1,22.5,78.2,0.7,1,0.1,6.96
Jonas Hofmann,Borussia Dortmund,26,AM(CLR),2(1),170,1,1.3,26,76.9,-,0.7,-,6.96
Mateo Pavlovic,Werder Bremen,29,D(C),3(1),316,-,0.3,38.8,79.4,-,3.5,-,6.96
Håvard Nordtveit,Borussia M.Gladbach,29,"D(CR),DMC",30(1),2576,4,0.9,39,80.7,0.9,3.5,-,6.95
Ömer Toprak,Bayer Leverkusen,29,D(C),26,2233,1,0.1,42.8,84.3,-,5.7,-,6.95
Marc-André ter Stegen,Borussia M.Gladbach,27,GK,34,3047,-,0.1,40.5,62.2,-,11.7,-,6.95
Sebastian Rudy,Hoffenheim,29,"D(R),M(CR)",21(2),1768,2,1,41.7,82.4,0.6,5.4,-,6.94
Adam Bodzek,Fortuna Duesseldorf,33,"D(C),DMC",29,2486,1,0.2,37.6,82.6,-,3.7,-,6.94
Ron-Robert Zieler,Hannover 96,30,GK,34,3060,-,-,33.2,56.7,-,11.2,-,6.94
Sebastian Kehl,Borussia Dortmund,39,M(C),19(3),1504,1,0.6,46.7,83.8,-,2.8,0.2,6.94
Mehmet Ekici,Werder Bremen,29,M(CL),6(3),469,-,1.4,17.1,79.9,0.8,0.4,0.2,6.94
Ragnar Klavan,Augsburg,33,D(C),29(1),2572,-,0.2,39.9,82.4,-,6.6,-,6.93
Matthias Ginter,Freiburg,25,"D(CR),DMC",21(2),1949,-,0.2,44.2,82.4,-,2.8,0.1,6.93
Cristian Molinaro,VfB Stuttgart,35,"D(L),M(L)",19(6),1769,1,0.6,35.5,76.8,0.7,2.1,-,6.93
Timothy Chandler,Nuernberg,29,"D(R),M(LR)",29(1),2530,3,0.4,31.1,70.6,0.8,1.6,-,6.92
Sidney Sam,Bayer Leverkusen,31,M(CLR),10(12),961,2,1.1,15.6,82.8,0.2,0.7,0.1,6.92
Christian Fuchs,Schalke 04,33,"D(CL),M(L)",23(6),2144,5,1.2,35.7,77.8,1.3,3.1,-,6.92
Marko Arnautovic,Werder Bremen,30,"AM(CLR),FW",21(5),1968,6,1.1,27.1,74.9,1,0.6,0.1,6.92
Wolfgang Hesl,Greuther Fuerth,33,GK,17,1530,-,-,31.8,58.8,-,11.9,-,6.92
