Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Víctor Sánchez,Getafe,31,"D(LR),M(CL)",21(8),1902,2.9,2.5,1.1,0.2,1.2,0.9,0.3,-,6.94
Martí,Mallorca,44,M(C),33(1),2815,2.7,2.6,1.4,-,0.7,0.8,0.2,-,6.94
Luis García,Espanyol,38,"M(CR),FW",36(1),2997,1.4,1.3,1,0.1,0.7,0.5,0.1,-,6.94
Iván Marcano,Getafe,32,D(CL),26(3),2454,1.9,3.7,0.9,1,4.6,0.6,0.7,-,6.93
Vicente Guaita,Valencia,32,GK,19(2),1793,-,-,-,-,1.5,-,-,-,6.93
Ricardo Costa,Valencia,38,D(C),29,2501,1.8,2.5,2.1,1.4,4.4,0.5,0.8,1,6.93
Francis,Racing Santander,37,D(R),20(4),1837,2,2.9,0.9,0.5,2.2,0.5,0.3,-,6.93
David de Gea,Atletico Madrid,28,GK,38,3420,-,-,-,-,0.5,-,-,-,6.93
Piet Velthuizen,Hercules,32,GK,3,270,-,-,-,-,1,-,-,-,6.93
Paulo Da Silva,Real Zaragoza,39,D(C),10(3),946,2.8,2.7,0.6,0.4,4,0.4,0.9,-,6.92
Marc Torrejón,Racing Santander,33,D(CR),36,3152,2,3.7,0.5,1.1,4.8,0.8,0.5,-,6.92
Pedro Ríos,Getafe,37,M(R),27(4),2238,1.5,1.6,1.2,-,0.2,0.9,0.1,-,6.92
Iván Cuéllar,Sporting Gijon,35,GK,13,1148,0.1,-,0.1,-,1.5,-,-,-,6.92
Aritz Aduriz,Valencia,38,FW,20(9),1856,0.7,0.3,1.8,-,0.5,0.2,0.1,-,6.92
Pau Cendrós,Mallorca,32,D(R),29(2),2451,3.6,3.4,1.5,0.4,1.6,0.7,0.3,-,6.92
Ivan Obradovic,Real Zaragoza,30,D(L),19(1),1574,2.9,3.3,1.4,0.2,1.9,0.7,0.2,1,6.91
Joan Capdevila,Villarreal,41,D(L),30(1),2635,2.2,1.9,0.9,0.6,2.5,0.5,0.3,-,6.91
Francisco Puñal,Osasuna,43,M(C),32(1),2831,1.8,2.4,1.2,-,0.9,0.7,0.2,-,6.91
Javier Paredes,Real Zaragoza,36,D(C),16(3),1578,2.8,2.6,1.8,0.1,2.6,0.5,0.2,-,6.91
Maxwell,Barcelona,37,D(L),19(6),1818,1.2,1.8,0.5,0.2,2.2,0.6,0.2,-,6.91
Víctor Valdés,Barcelona,37,GK,32,2880,-,-,-,-,1,-,-,-,6.91
Emmanuel Adebayor,Real Madrid,35,FW,6(8),733,0.4,0.2,1.1,-,0.1,0.1,0.1,-,6.91
Roberto Canella,Sporting Gijon,31,D(L),15(2),1318,2.2,3.2,0.7,0.4,2.4,0.4,0.2,-,6.90
Miguel Brito,Valencia,39,D(R),20(4),1827,2.3,2.4,1.2,0.6,1.5,0.9,0.2,-,6.90
Víctor Ruiz,Espanyol,30,D(C),15,1352,2,3.1,1.3,1.4,5.8,0.2,0.3,-,6.90
Pedro Álvarez,Getafe,37,D(C),3,227,3.3,2.3,0.7,1,3.3,0.3,0.3,-,6.90
Damiá,Osasuna,37,D(LR),22(5),1942,2.6,2.9,1.6,0.3,2.4,0.4,0.3,-,6.90
Javi Venta,Levante,43,D(R),33,2970,3.8,3.2,1,0.3,2.1,1.5,0.2,-,6.90
Grégory Arnolin,Sporting Gijon,38,"D(CL),DMC",23,1997,1.7,2.7,1.5,1.6,7.7,0.6,0.4,1,6.90
Gurpegi,Athletic Bilbao,38,"D(C),M(C)",28(3),2243,2.3,2.6,2,0.1,1.5,0.7,0.4,-,6.90
Mikel Aranburu,Real Sociedad,40,"D(C),M(CR),FW",27(5),2328,2.9,1.8,1.1,-,0.7,0.7,0.2,-,6.90
Nélson,Osasuna,36,D(R),25(4),2260,2.2,3.1,1.2,0.5,2.6,0.5,0.2,-,6.90
Jordi Codina,Getafe,37,GK,22(1),2054,-,-,-,-,1.3,0.1,-,-,6.89
Andoni Iraola,Athletic Bilbao,37,"D(R),M(CR)",37,3291,2.1,2.1,0.5,0.2,1.1,0.7,0.1,-,6.89
Mehmet Topal,Valencia,33,"D(C),M(C)",21(2),1830,1.7,2.4,1.9,0.3,2.1,0.5,0.5,-,6.89
Luis Alberto,Sevilla,26,"AM(CL),FW",1(1),99,2,1,-,-,-,-,-,-,6.89
Ángel Lafita,Real Zaragoza,34,"M(CLR),FW",22(8),2052,1.7,1.6,1.5,-,0.5,0.5,0.1,-,6.89
Jordi Alba,Valencia,30,D(L),14(13),1412,2,3.6,1.1,0.2,1.6,0.8,0.1,-,6.89
Bruno,Valencia,38,"D(R),M(R)",17(2),1538,1.7,3.2,1.4,0.4,2.4,0.9,0.4,-,6.89
Felipe Caicedo,Levante,30,FW,22(5),1719,0.6,0.4,1.2,-,0.3,0.1,-,-,6.88
Pablo Pinillos,Racing Santander,44,D(R),19(1),1639,2.5,3.3,1.6,0.1,2.2,0.9,0.1,-,6.88
Giovani dos Santos,Racing Santander,30,"AM(CLR),FW",9(7),956,0.4,0.4,0.4,-,-,0.1,-,-,6.88
Hernán Bernardello,Almeria,32,M(C),33,2855,2.8,2.5,1.7,-,1.2,0.9,0.2,-,6.88
Rafa,Getafe,34,D(CL),17(2),1547,2.1,4.4,1.2,1.2,5.3,0.8,0.7,-,6.88
Mikel González,Real Sociedad,33,D(C),30(2),2676,3.1,2.7,1.1,0.3,6.3,0.8,0.8,-,6.88
Vadim Demidov,Real Sociedad,32,D(C),12(1),1092,1.5,3.2,0.5,0.7,3.3,0.3,0.8,-,6.88
Luis Perea,Atletico Madrid,40,D(CLR),28,2401,2.3,2.4,1.1,1.4,5.9,0.5,0.6,-,6.88
Antonio Tomás,Deportivo La Coruna,34,"D(C),M(CR)",20(1),1684,2.8,2.7,1.4,-,1.3,0.8,0.2,-,6.88
Aitor Ocio,Athletic Bilbao,42,D(C),3(1),282,0.5,2.3,0.8,1,4,0.3,0.8,-,6.88
Antonio López,Atletico Madrid,37,D(L),15(2),1338,2.2,2.7,1,0.4,3.1,0.6,0.2,-,6.88
Javi López,Espanyol,33,"D(R),DMC",18(7),1653,3.5,2.2,1.2,0.4,1.4,1.2,0.2,-,6.88
Marcos Senna,Villarreal,42,"D(C),DMC,M(R)",15(5),1220,1.8,1.9,1,0.1,1.2,0.5,0.1,-,6.88
Toni Doblas,Real Zaragoza,38,GK,17(1),1544,-,0.1,0.1,-,1.7,0.1,-,-,6.87
Mateo Musacchio,Villarreal,28,D(C),27(4),2435,2.2,3.1,1.1,1.5,4.2,0.5,0.5,-,6.87
Noé Pamarot,Hercules,40,"D(L),DMC",28(1),2538,1.7,4.4,1,0.8,4,0.5,0.5,-,6.87
Sergio Ballesteros,Levante,43,D(C),35,3134,1.9,2.9,1,1,4.8,0.4,0.7,-,6.86
Míchel Macedo,Almeria,29,D(R),30(1),2649,2.7,2.9,1.5,0.2,2.1,0.4,0.4,-,6.86
Modeste M'Bami,Almeria,36,"D(C),M(C)",28(2),2487,3.2,2,2.2,-,0.9,1.3,-,-,6.86
