Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Vincent Vermeij,Heracles,24,FW,14(10),1344,0.6,0.1,0.8,-,0.8,0.7,0.1,-,6.91
Thierry Ambrose,NAC Breda,22,"AM(R),FW",30,2372,0.4,0.3,0.7,-,0.7,0.6,-,-,6.91
Mike te Wierik,FC Groningen,27,D(CR),33,2938,2.1,1.7,1.5,0.6,5,0.3,0.5,-,6.90
Mikhail Rosheuvel,Roda,28,"AM(CLR),FW",32(1),2776,1.3,0.8,1,-,0.4,1.4,-,-,6.90
Stefan Thesker,Twente,28,"D(CL),DMC",18,1608,1.9,1.7,1.2,0.7,6.5,0.8,0.4,1,6.89
Vito van Crooij,VVV-Venlo,23,AM(LR),27(4),2464,1.6,0.7,1,-,0.8,1.7,0.1,-,6.89
Fred Friday,Sparta Rotterdam,24,FW,11(3),1009,0.8,-,1.1,-,0.9,0.2,-,-,6.89
Juninho Bacuna,FC Groningen,21,M(C),28(5),2594,1.6,0.9,1.4,0.1,1.4,1,0.2,-,6.89
Danny Post,VVV-Venlo,30,DMC,19(1),1667,3.6,1.4,1.9,0.1,3.3,1.9,0.2,-,6.89
Mauro Júnior,PSV Eindhoven,20,M(C),5(10),583,1.7,0.5,0.3,-,-,1.1,-,-,6.89
Adil Auassar,Roda,32,"D(C),M(CL)",27(2),2409,1.3,1.6,1,0.5,5.6,0.2,0.9,1,6.88
Rasmus Kristensen,Ajax,21,D(R),5(3),484,2.5,1.5,0.5,0.1,0.9,1.6,-,-,6.88
Philippe Sandler,PEC Zwolle,22,D(C),22(1),2014,1.5,1.9,0.8,1.3,4.2,0.3,0.5,-,6.88
Django Warmerdam,FC Groningen,23,"D(L),M(CL)",28(2),2516,2.2,1.6,0.9,0.2,2.5,0.7,0.2,-,6.88
André Onana,Ajax,23,GK,33,2970,-,-,-,-,0.9,-,-,-,6.88
Thom Haye,Willem II,24,AM(CLR),28(5),2476,1.5,0.5,0.9,-,1.1,1,0.2,-,6.87
Lars Unnerstall,VVV-Venlo,28,GK,32,2880,-,0.1,-,-,1.1,-,-,-,6.87
Fernando Lewis,Willem II,26,"D(CR),M(L)",21(6),1892,2.3,2.2,1,0.3,3.1,1,0.4,-,6.87
Tsiy William Ndenge,Roda,22,DMC,23(9),2237,0.9,1.3,0.5,-,1.2,0.7,0.4,-,6.87
Diederik Boer,PEC Zwolle,38,GK,33,2970,-,0.1,-,-,0.6,-,-,-,6.87
Sander van de Streek,FC Utrecht,26,"AM(CL),FW",28(6),2506,1.2,0.6,0.7,-,0.7,0.8,0.1,-,6.86
