Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Siaka Tiéné,Paris Saint-Germain,37,"D(L),M(L)",16(7),1482,1.5,1.9,1.1,0.1,1.8,0.6,0.2,-,6.78
Jordan Loties,Nancy,34,"D(C),DMC",23(2),2091,2.4,2,1,0.2,4.9,0.3,0.6,-,6.78
Cedric Varrault,Dijon,39,D(C),24,1962,2.7,2.1,1,0.4,3.6,0.8,0.3,-,6.77
Adrien Regattin,Toulouse,27,M(CLR),14(7),1164,1.2,1,0.9,-,0.1,0.6,-,-,6.77
Kevin Anin,Sochaux,32,M(C),14,1260,3.3,2,2,-,2.6,1.2,0.1,-,6.77
Bafétimbi Gomis,Lyon,33,FW,29(7),2462,0.4,0.2,1.1,-,0.2,0.1,0.1,-,6.77
Gregory Leca,Caen,39,"D(L),DMC",20(5),1730,1.9,2.3,1.2,0.3,3.6,1,0.4,-,6.77
Olivier Kapo,Auxerre,38,"AM(C),FW",11(4),938,1.1,1,1,-,0.4,0.1,0.1,-,6.77
Karim Aït Fana,Montpellier,30,AM(CL),6(5),535,0.5,0.7,0.5,-,0.2,0.2,-,-,6.77
Nicolas Penneteau,Valenciennes,38,GK,38,3420,-,-,-,-,0.9,-,-,-,6.77
Carl Medjani,AC Ajaccio,34,"D(C),DMC",32(3),2904,1.6,2.3,1.7,0.6,6.6,0.4,0.6,-,6.77
Franck Tabanou,Toulouse,30,"D(L),M(L)",29(3),2470,0.9,1.5,1.3,0.1,0.9,0.5,0.1,-,6.77
Thomas Kahlenberg,Evian Thonon Gaillard,36,M(C),12(5),1071,0.9,1.1,1.1,-,0.2,0.3,0.1,-,6.77
Daniel Wass,Evian Thonon Gaillard,30,"D(LR),M(CLR)",27(2),2373,1.5,1.3,0.9,0.1,2.1,0.5,0.1,-,6.76
