Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Malaga,Keko,3,0,4,13,38,6.59
Espanyol,Marc Navarro,6,0,12,22,20,6.58
Levante,Nano Mesa,0,0,0,0,7,6.58
Girona,Pere Pons,3,0,25,30,80,6.58
Las Palmas,Nacho Gil,0,0,3,8,16,6.58
Las Palmas,Benito Ramírez,0,0,3,2,6,6.58
Girona,Douglas Luiz,0,0,0,4,10,6.58
Getafe,Mathieu Flamini,0,0,8,8,11,6.58
Malaga,Esteban Rolón,1,1,8,9,6,6.57
Levante,Álex Alegría,0,0,9,4,8,6.57
Leganes,Nabil El Zhar,1,0,1,18,11,6.56
Malaga,Javier Ontiveros,2,0,3,4,10,6.56
Levante,Cheick Doukouré,4,0,4,14,34,6.56
Athletic Bilbao,Sabin Merino,2,0,8,1,7,6.56
