Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Malaga,Miguel Torres,5,76,446,0,0,6.65
Malaga,Mikel Villanueva,0,80,391,0,0,6.65
Malaga,Youssef En-Nesyri,3,62,34,1,1,6.65
Granada,Javi Marquez,3,78,203,0,0,6.64
Osasuna,Miguel Flaño,1,77,219,0,0,6.64
Granada,Héctor Hernández,8,81,320,2,1,6.64
Malaga,Juanpi Añor,33,81,509,0,3,6.64
Espanyol,José Antonio Reyes,18,71,252,4,1,6.64
Deportivo Alaves,Raúl García,10,72,342,0,0,6.64
Granada,Gastón Silva,7,74,539,0,0,6.64
Real Betis,Rafa Navarro,11,80,389,2,1,6.63
Granada,Jérémie Boga,13,84,337,1,1,6.63
Sporting Gijon,Moi Gómez,35,81,672,5,3,6.63
Espanyol,Álvaro Vázquez,4,77,70,1,0,6.63
Malaga,Duda,11,73,180,2,3,6.63
Osasuna,Miguel De las Cuevas,30,81,582,1,2,6.63
Real Sociedad,Juanmi,8,79,337,0,1,6.63
Deportivo La Coruna,Przemysław Tytoń,1,49,152,0,0,6.62
Athletic Bilbao,Enric Saborit,1,70,126,0,0,6.62
Osasuna,Fran Mérida,7,75,325,0,1,6.62
Sporting Gijon,Carlos Castro,12,77,175,1,2,6.62
Granada,Jon Toral,0,84,86,0,0,6.62
Leganes,Adrián Marín,6,71,194,0,0,6.62
Espanyol,Javi López,6,72,360,1,1,6.62
Eibar,Adrián González,13,74,395,1,0,6.62
Granada,Sergi Samper,6,81,602,1,1,6.61
Eibar,Bebé,9,73,132,2,0,6.61
Osasuna,Oier,18,69,859,2,0,6.61
Las Palmas,Michel Macedo,15,86,966,4,4,6.61
Leganes,Gabriel Pires,35,67,809,2,4,6.61
Leganes,Nabil El Zhar,19,75,334,4,2,6.60
Espanyol,Papakouli Diop,2,73,226,0,0,6.60
Celta Vigo,Pape Cheikh,5,88,238,0,0,6.60
Valencia,Federico Cartabia,0,76,44,0,0,6.60
Eibar,Cristian Rivera,4,77,215,0,0,6.60
Athletic Bilbao,Asier Villalibre,2,56,10,1,1,6.60
Las Palmas,Aythami Artiles,1,86,516,0,0,6.60
Barcelona,Carles Aleñá,0,91,30,0,0,6.60
Leganes,Jon Ander Serantes,1,40,152,0,1,6.60
Leganes,Omar Ramos,20,72,215,2,3,6.60
Osasuna,Álvaro Fernández,0,50,6,0,0,6.60
Sevilla,Diego Gonzalez,0,75,6,0,0,6.60
Granada,Jean Carlos,0,75,6,0,0,6.60
Real Sociedad,Jon Gaztañaga,0,81,22,0,0,6.60
Malaga,Luis Muñoz,1,73,78,0,0,6.60
Sporting Gijon,Juan Rodríguez,1,70,57,0,1,6.60
Sporting Gijon,Pablo Fernández,1,57,4,0,0,6.60
Osasuna,Javier Flano Bezunartea,1,64,21,0,0,6.60
Real Betis,Álex Martínez,10,72,270,0,2,6.60
Malaga,Javier Ontiveros,16,71,212,3,2,6.59
Eibar,Mauro Dos Santos,0,74,211,0,0,6.59
Deportivo Alaves,Víctor Camarasa,28,84,806,1,7,6.59
Deportivo La Coruna,Carles Gil,23,85,527,4,2,6.58
Real Betis,Jonas Martin,9,82,463,0,0,6.58
Leganes,Mamadou Koné,2,67,20,0,0,6.58
Las Palmas,Javi Varas,1,69,625,0,0,6.58
Granada,Mehdi Carcela-González,16,78,326,1,2,6.58
Malaga,Zdravko Kuzmanović,1,88,114,0,0,6.58
Sevilla,Walter Montoya,1,83,33,0,0,6.58
