"player_name","club_name","age","position","apps","mins","goals","assists","yellow_cards","red_cards","shots_per_goal","pass_accuracy","aerials_won","man_of_the_match","Field14"
"Gabriel Mercado","Sevilla,","32",",  D(CR)","19(4)","1738","2","1","10","-","0.5","82","2","-","6.73"
"Alejandro Gálvez","Rayo Vallecano,","30",",  D(C),M(C)","17","1418","1","-","6","-","0.4","81.1","2.1","-","6.73"
"Enis Bardhi","Levante,","23",",  AM(CL)","31(5)","2842","3","4","6","-","1.8","76.4","0.3","-","6.73"
"Ibai Gómez","Deportivo Alaves,","29",",  AM(LR)","17(1)","1457","3","2","-","-","2.3","72.3","0.2","2","6.73"
"Yassine Bounou","Girona,","28",",  GK","32","2862","-","-","2","-","-","62.7","0.2","1","6.73"
"Raúl Navas","Real Sociedad,","31",",  D(C)","15(1)","1311","-","-","4","-","0.3","86.6","1.8","-","6.72"
"Alfonso Pedraza","Villarreal,","23",",  D(L),M(L)","22(12)","2089","3","3","3","-","1.1","75.8","0.8","2","6.72"
"Aitor Fernández","Levante,","28",",  GK","16","1440","-","-","-","-","-","52.9","0.3","1","6.72"
"Roberto Santamaría","SD Huesca,","34",",  GK","20","1800","-","-","1","-","-","50","0.1","-","6.72"
"David López","Espanyol,","29",",  D(C),DMC","21","1820","-","-","4","-","0.4","88.3","2.5","1","6.72"
"Diego López","Espanyol,","37",",  GK","38","3420","-","-","2","-","-","65.9","0.2","2","6.72"
"Iván Ramis","Eibar,","34",",  D(C)","20(1)","1682","-","-","4","-","0.8","79.4","3","-","6.72"
"Pablo Fornals","Villarreal,","23",",  M(CLR)","28(7)","2483","2","3","4","-","1.7","78.1","0.6","1","6.71"
"Thibaut Courtois","Real Madrid,","27",",  GK","27","2430","-","-","2","-","-","72.5","0.3","1","6.71"
"Santi Mina","Valencia,","23",",  AM(LR),FW","23(7)","1860","7","5","4","-","1.4","73","1.4","2","6.71"
"Vasyl Kravets","Leganes,","21",",  M(L)","6","484","-","-","2","-","0.7","75.8","1.2","-","6.71"
"Míchel","Real Valladolid,","30",",  M(CR)","27(8)","2554","1","2","9","-","0.6","84.7","0.7","1","6.71"
"Mario Gaspar","Villarreal,","28",",  D(CR),M(R)","30(1)","2602","1","2","15","1","0.8","77.2","1.7","-","6.71"
"Kiko Olivas","Real Valladolid,","30",",  D(C)","35","3102","-","-","6","-","0.2","88.1","1.9","-","6.71"
"Sidnei","Real Betis,","29",",  D(C)","20(4)","1743","1","-","4","-","0.4","89.5","1.4","2","6.71"
"Joris Gnagnon","Sevilla,","22",",  D(C)","4(3)","445","-","-","2","-","0.4","90.3","2.7","-","6.71"
"Sergi Gómez","Sevilla,","27",",  D(CR)","31(1)","2766","-","-","1","-","0.3","84.6","2.6","-","6.70"
"Santiago Comesaña","Rayo Vallecano,","22",",  DMC","23(2)","2032","1","1","6","-","0.3","84.9","1.6","-","6.70"
"Anaitz Arbilla","Eibar,","32",",  D(CLR)","22(3)","1950","1","2","4","1","0.7","75.3","2.4","-","6.70"
"Charles","Eibar,","35",",  FW","17(17)","1736","14","1","4","-","1.9","69.4","3.1","3","6.70"
"Yangel Herrera","SD Huesca,","21",",  DMC","14(2)","1158","-","-","5","-","0.9","75.8","2","-","6.70"
"Moi Gómez","SD Huesca,","24",",  M(CLR)","35(1)","3061","2","7","3","-","0.7","82.8","0.6","1","6.70"
"Paulo Oliveira","Eibar,","27",",  D(C)","24(4)","2243","-","-","4","-","0.3","68.7","2.8","-","6.70"
"Neto","Valencia,","29",",  GK","34","3060","-","-","2","-","-","48.6","0.1","1","6.70"
"Pablo Hervías","Eibar,","26",",  Midfielder","2(1)","180","-","1","-","-","1.3","80.9","0.7","-","6.69"
"Juanfran","Atletico Madrid,","34",",  D(R)","18(4)","1609","-","2","7","-","-","82.2","0.6","1","6.69"
"Óscar Plano","Real Valladolid,","28",",  AM(CLR),FW","30(3)","2697","3","4","8","-","1.4","76.8","1.1","4","6.69"
