Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Eibar,Mikel Arruabarrena,87,0,1,0,1,6.70
Atletico Madrid,Nacho Monsalve,84,0,0,0,0,6.70
Getafe,Ian Gonzalez Nieto,90,0,0,0,0,6.70
Levante,Mauricio Cuero,65,1,10,16,0,6.70
Athletic Bilbao,Kike Sola,73,0,0,0,0,6.70
Sevilla,Diego Gonzalez,91,0,3,0,1,6.70
Levante,Juanfran,65,1,37,9,0,6.70
Las Palmas,Hernán,86,0,24,4,1,6.69
Eibar,Adrián González,73,0,30,5,5,6.69
Malaga,Pablo Fornals,78,0,35,12,1,6.69
Sporting Gijon,Isma López,71,0,74,20,2,6.69
Granada,Andrés Fernández,54,0,1,1,0,6.69
Deportivo La Coruna,Juanfran,74,2,58,15,1,6.69
Getafe,Víctor Rodríguez,86,2,40,23,2,6.68
Real Madrid,Borja Mayoral,79,0,3,2,0,6.68
Real Sociedad,Sergio Canales,83,0,13,3,0,6.68
Eibar,Simone Verdi,82,0,4,3,0,6.68
Deportivo La Coruna,Luisinho,75,0,31,20,0,6.68
Granada,Nico López,67,0,3,5,0,6.68
Malaga,Roque Santa Cruz,74,1,4,0,2,6.68
Eibar,Xabier Irureta,38,0,0,0,0,6.68
Sporting Gijon,Omar Mascarell,75,1,46,5,0,6.67
Granada,Cristiano Biraghi,70,1,79,10,0,6.67
Malaga,Arthur Boka,78,0,19,13,0,6.67
Sporting Gijon,Miguel Ángel Guerrero,71,1,23,8,2,6.67
Getafe,Bernard Mensah,88,0,3,6,0,6.67
Las Palmas,Angel,89,0,0,0,0,6.67
Espanyol,Javi López,71,2,105,20,0,6.66
Espanyol,Salva Sevilla,87,0,7,1,1,6.66
Sevilla,José Antonio Reyes,66,1,18,19,1,6.66
Getafe,Álvaro Vázquez,69,4,10,10,5,6.66
Villarreal,Léo Baptistão,67,1,15,22,3,6.66
Getafe,Pedro León,69,4,29,46,2,6.66
Rayo Vallecano,Yoel Rodríguez,57,0,0,0,0,6.66
Levante,David Navarro,79,0,19,1,0,6.66
Getafe,Damián Suárez,75,3,64,16,0,6.65
Sevilla,Diogo Figueiras,73,0,13,2,0,6.65
Getafe,Henok Goitom,58,0,0,0,0,6.65
Las Palmas,Nili,80,0,5,4,0,6.65
Sporting Gijon,Carlos Castro,81,0,7,9,7,6.65
Granada,Javi Marquez,71,1,32,4,0,6.65
Espanyol,Pau López,48,0,1,0,0,6.65
Valencia,Santi Mina,76,1,28,20,4,6.64
Athletic Bilbao,Sabin Merino,68,0,16,8,5,6.64
Valencia,Antonio Barragán,80,0,42,6,0,6.64
Rayo Vallecano,Toño,67,0,0,0,0,6.64
Sporting Gijon,Álex Menéndez,66,1,31,17,2,6.64
Sevilla,Ciro Immobile,63,0,3,1,2,6.64
Rayo Vallecano,Piti,60,2,10,15,2,6.64
Espanyol,Enzo Roco,80,0,30,5,2,6.64
Deportivo La Coruna,Cani,71,0,20,10,0,6.64
Real Betis,Dani Giménez,50,0,0,0,0,6.63
Sporting Gijon,Nacho Cases,85,0,43,5,1,6.63
Levante,Rubén García,69,0,23,18,1,6.63
Espanyol,Juan Rafael Fuentes,78,0,15,2,0,6.63
