Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Dijon,Mehdi Abeid,86,0,51,31,3,6.77
Saint Etienne,Yannis Salibur,80,3,9,26,1,6.77
Fc Nantes,Matthew Miazga,81,0,12,0,0,6.76
Stade De Reims,Pablo Chavarria,62,3,20,10,5,6.76
Ogc Nice,Igniatius Ganago,78,0,3,17,2,6.76
Bordeaux,Toma Bašić,82,0,32,18,2,6.76
Dijon,Oussama Haddadi,76,2,51,11,2,6.76
Amiens,Jordan Lefort,69,1,33,8,0,6.75
Nimes Olympique,Florian Miguel,77,1,19,3,0,6.75
Fc Nantes,Enock Kwateng,70,1,65,23,0,6.75
Strasbourg,Lionel Carole,80,3,25,10,0,6.75
Bordeaux,Sergi Palencia,80,3,75,12,0,6.75
Olympique Lyonnais,Mariano Díaz,77,0,0,3,0,6.75
Olympique De Marseille,Tomáš Hubočan,71,0,3,1,0,6.75
Amiens,Prince Gouano,82,0,31,1,1,6.75
Saint Etienne,Charles Abi,35,0,4,2,0,6.75
Saint Etienne,Wesley Fofana,88,0,7,0,0,6.75
As Monaco,Jean-Eudes Aholou,85,1,20,10,0,6.75
Lille Osc,Jonathan Ikoné,74,9,25,75,3,6.74
Toulouse,Stephane M'Bia,90,0,1,1,0,6.74
Amiens,Stiven Mendoza,78,2,29,40,2,6.74
Lille Osc,Kouadio Dabila,86,0,11,1,0,6.74
Toulouse,Jean-Clair Todibo,85,0,21,5,1,6.74
Guingamp,Jérémy Sorbon,84,0,33,5,1,6.74
Fc Nantes,Majeed Waris,75,3,22,27,5,6.74
As Monaco,Djibril Sidibé,75,2,50,8,0,6.73
Strasbourg,Ibrahima Sissoko,80,2,60,33,3,6.73
Olympique Lyonnais,Lucas Tousart,87,0,74,10,0,6.73
Dijon,Laurent Ciman,88,0,11,0,0,6.73
Strasbourg,Lamine Koné,84,1,21,8,1,6.73
Montpellier,Petar Škuletić,69,1,9,8,1,6.73
Nimes Olympique,Jordan Ferri,83,1,57,28,2,6.73
Stade De Reims,Hyun-Jun Suk,52,0,11,6,3,6.73
Angers,Abdoulaye Bamba,78,4,51,15,0,6.73
Angers,Ismaël Traoré,85,1,27,6,3,6.73
Nimes Olympique,Sada Thioub,78,5,30,72,3,6.73
Fc Nantes,Fábio,76,2,51,8,0,6.73
As Monaco,Danijel Subašić,61,0,0,0,0,6.73
Toulouse,François Moubandje,79,0,38,16,0,6.73
Saint Etienne,Gabriel Silva,81,2,19,9,0,6.73
Nimes Olympique,Baptiste Guillaume,63,1,12,10,2,6.73
Amiens,Ganso,87,2,12,6,0,6.73
Strasbourg,Anthony Caci,81,1,56,12,0,6.72
Angers,Wilfried Kanga,69,0,0,4,2,6.72
Guingamp,Lucas Deaux,70,1,41,5,3,6.72
Fc Nantes,Lucas Evangelista,76,0,30,10,1,6.72
Stade De Reims,Moussa Doumbia,80,1,28,32,3,6.72
Strasbourg,Youssouf Fofana,78,1,28,16,2,6.72
Saint Etienne,Pierre-Yves Polomat,81,2,18,8,0,6.72
Bordeaux,Igor Lewczuk,87,0,12,0,0,6.72
Lille Osc,Rui Fonte,79,0,25,1,1,6.72
Nimes Olympique,Sofiane Alakouch,74,0,81,21,1,6.72
Guingamp,Nolan Roux,67,0,11,8,2,6.72
Toulouse,Yaya Sanogo,64,0,4,4,3,6.71
Angers,Thomas Mangani,83,0,42,8,3,6.71
Stade De Reims,Arbër Zeneli,78,3,8,36,3,6.71
Montpellier,Mihailo Ristić,73,0,14,2,1,6.71
Toulouse,Mauro Goicoechea,61,0,0,0,0,6.71
Montpellier,Ambroise Oyongo,71,0,44,29,2,6.71
Olympique Lyonnais,Rafael,83,1,33,11,0,6.71
Ogc Nice,Rémi Walter,91,0,20,5,2,6.71
Nimes Olympique,Antonin Bobichon,83,2,34,17,7,6.71
Toulouse,Baptiste Reynet,62,0,0,3,0,6.71
Montpellier,Paul Lasne,81,0,54,12,2,6.71
Nimes Olympique,Umut Bozok,75,3,9,12,2,6.71
Amiens,Alexis Blin,81,1,77,5,1,6.71
Angers,Cheikh N'Doye,61,3,25,5,0,6.71
Guingamp,Marcus Thuram,73,1,45,101,9,6.71
Guingamp,Ronny Rodelin,72,0,13,8,0,6.71
Paris Saint Germain,Eric Maxim Choupo-Moting,82,0,9,20,3,6.71
Stade De Reims,Tristan Dingome,79,3,27,9,1,6.71
Ogc Nice,Bassem Srarfi,81,0,20,22,1,6.70
Lille Osc,Boubakary Soumaré,86,1,20,8,1,6.70
Lille Osc,Xeka,82,0,59,8,2,6.70
Angers,Pape Djibril Diaw,91,0,0,0,0,6.70
Dijon,Valentin Rosier,84,3,45,16,0,6.70
Strasbourg,Abdallah Ndour,80,0,6,0,0,6.70
Ogc Nice,Patrick Burner,84,0,36,13,0,6.70
Toulouse,Hakim El Mokeddem,85,0,1,0,0,6.70
Dijon,Mickaël Alphonse,65,0,10,4,1,6.70
Nimes Olympique,Pierrick Valdivia,92,0,1,0,0,6.70
Bordeaux,Alexandre Lauray,84,0,11,0,0,6.70
