Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Toulouse,Manu García,22,80,736,4,3,6.62
Dijon,Enzo Loiodice,6,85,353,1,1,6.62
As Monaco,Diego Benaglio,0,70,377,0,0,6.62
Caen,Malik Tchokounte,10,69,309,2,1,6.62
As Monaco,Adama Traoré,6,78,81,1,1,6.62
Amiens,Rafał Kurzawa,3,78,88,0,0,6.61
Strasbourg,Kevin Zohi,5,77,139,1,1,6.61
Toulouse,Aaron Leya Iseka,10,79,207,0,0,6.60
Paris Saint Germain,Giovani Lo Celso,0,100,13,0,0,6.60
Saint Etienne,Assane Dioussé,2,85,120,0,1,6.60
As Monaco,Han-Noah Massengo,0,85,17,0,0,6.60
Lille Osc,Reinildo Isnard Mandava,1,85,44,0,1,6.60
Bordeaux,Zaydou Youssouf,3,77,135,0,0,6.60
Stade Rennais,Souleyman Doumbia,1,88,255,0,0,6.60
Amiens,Gaoussou Traore,0,81,29,0,0,6.60
Nimes Olympique,Fethi Harek,0,69,43,0,0,6.60
As Monaco,Giulian Biancone,0,80,28,0,0,6.60
Ogc Nice,Pedro Brazao,1,100,4,0,0,6.60
Rc Lens,Steven Fortes,0,86,43,0,0,6.60
Fc Nantes,Thody Elie Youan,0,67,4,0,0,6.60
Bordeaux,Till Cissokho,1,81,29,0,0,6.60
Bordeaux,Driss Trichard,0,81,25,0,0,6.60
Toulouse,Firmin Ndombe Mubele,3,83,66,0,0,6.59
Nimes Olympique,Theo Valls,19,79,567,0,1,6.59
Ogc Nice,Jean-Victor Makengo,13,86,356,0,1,6.58
As Monaco,Andrea Raggi,3,84,163,0,0,6.58
Fc Nantes,Edgar Ié,2,79,336,0,0,6.58
Bordeaux,Yassine Benrahou,2,84,80,0,0,6.58
Toulouse,John Bostock,7,85,503,0,1,6.57
Guingamp,Didier N'Dong,4,82,268,0,0,6.57
Dijon,Yoann Gourcuff,3,84,65,0,0,6.57
Toulouse,Kalidou Sidibe,4,73,432,0,0,6.57
Caen,Saîf-Eddine Khaoui,11,72,322,1,0,6.57
