Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Heracles Almelo,Wout Droste,81,1,26,1,0,6.72
Heerenveen,Wout Faes,86,0,7,1,0,6.71
Roda Jc Kerkrade,Mitchell Paulissen,69,3,22,18,4,6.71
Feyenoord,Renato Tapia,83,0,5,3,1,6.71
Az Alkmaar,Jonas Svensson,80,0,39,2,0,6.71
Fc Twente,Jari Oosterwijk,62,0,6,0,2,6.71
Roda Jc Kerkrade,Athanasios Papazoglou,59,0,4,2,1,6.71
Groningen,Juninho Bacuna,75,3,22,26,1,6.71
Nec Nijmegen,Robin Buwalda,77,0,42,0,0,6.71
Excelsior,Haspolat Dogucan,67,0,1,0,0,6.70
Nec Nijmegen,Sam Lundholm,85,0,2,1,0,6.70
Az Alkmaar,Levi García,70,3,12,27,1,6.70
Heracles Almelo,Daryl van Mieghem,72,0,5,1,2,6.70
Vitesse,Mitchell Van Bergen,84,2,3,10,0,6.69
Ado Den Haag,Donny Gorter,75,0,8,5,0,6.69
Willem Ii Tilburg,Bruno Andrade,85,2,7,8,0,6.69
Heracles Almelo,Peter van Ooijen,83,1,8,6,2,6.69
Willem Ii Tilburg,Elmo Lieftink,68,1,22,2,0,6.69
Go Ahead Eagles,Norichio Nieveld,79,1,9,2,0,6.68
Willem Ii Tilburg,Freek Heerkens,73,0,30,2,0,6.68
Az Alkmaar,Tim Krul,61,0,0,1,0,6.68
Ajax,Mitchell Dijks,86,0,10,7,0,6.68
Fc Utrecht,Edson Braafheid,82,0,2,1,0,6.68
Psv Eindhoven,Florian Jozefzoon,79,0,3,0,0,6.68
Heerenveen,Caner Cavlan,80,0,5,0,0,6.67
Fc Twente,Chinedu Ede,79,6,11,8,0,6.67
Fc Twente,Giorgos Katsikas,77,0,1,1,0,6.67
Fc Twente,Tim Holscher,83,0,2,1,0,6.67
Fc Utrecht,Andreas Ludwig,73,0,17,3,1,6.66
Sparta Rotterdam,Bart Vriends,77,0,21,0,0,6.66
Pec Zwolle,Erik Israelsson,61,0,8,0,1,6.66
Fc Twente,Jelle van der Heyden,84,0,9,8,0,6.66
Nec Nijmegen,Ali Messaoud,75,1,13,3,1,6.66
Sparta Rotterdam,Rick Van Drongelen,75,1,34,5,0,6.66
Heerenveen,Pelle van Amersfoort,65,3,33,8,2,6.65
Go Ahead Eagles,Lum Rexhepi,75,0,0,0,0,6.65
Sparta Rotterdam,Cyril Chevreuil,50,0,0,0,0,6.65
Fc Utrecht,Jeff Hardeveld,78,0,5,1,0,6.65
Pec Zwolle,Stefan Nijland,78,0,4,1,0,6.65
Heracles Almelo,Jaroslav Navratil,76,2,16,10,1,6.65
Nec Nijmegen,Michael Heinloth,70,1,57,17,1,6.65
Fc Twente,Dylan Seys,72,0,11,13,1,6.64
Go Ahead Eagles,Leon de Kogel,62,1,3,1,1,6.64
Ado Den Haag,José San Román,68,1,32,14,0,6.64
Ado Den Haag,Hector Hevel,67,1,5,0,0,6.64
Nec Nijmegen,Jordan Larsson,82,0,4,2,0,6.64
Ado Den Haag,Tom Trybull,85,0,58,4,1,6.63
Heerenveen,Simon Thern,69,0,2,0,0,6.63
