Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Borussia Mgladbach,Patrick Herrmann,13,66,127,1,1,6.60
Hertha Bsc,Jordan Torunarigha,1,76,173,0,0,6.60
Borussia Dortmund,Ju Ho Park,2,93,28,0,0,6.60
Fc Schalke 04,Fabian Reese,2,65,13,0,0,6.60
Eintracht Frankfurt,Max Besuschkow,2,59,13,0,0,6.60
Ingolstadt,Max Christiansen,2,76,156,0,0,6.60
Augsburg,Markus Feulner,0,67,2,0,0,6.60
Darmstadt 98,Benjamin Gorka,0,40,2,0,0,6.60
1 Fsv Mainz 05,Levin Öztunali,32,60,299,6,6,6.60
Augsburg,Halil Altintop,15,72,348,2,1,6.59
Werder Bremen,Arón Johannssón,4,72,50,1,0,6.59
1 Fc Koln,Simon Zoller,9,70,215,2,2,6.59
Ingolstadt,Ørjan Nyland,0,51,176,0,0,6.58
1899 Hoffenheim,Eduardo Vargas,3,80,35,0,0,6.58
Augsburg,Georg Teigl,5,74,128,1,1,6.58
Ingolstadt,Stefan Lex,3,58,41,0,0,6.58
Rb Leipzig,Rani Khedira,1,80,79,0,0,6.57
Darmstadt 98,Leon Guwara,10,69,216,0,1,6.57
Darmstadt 98,László Kleinheisler,3,68,132,1,1,6.57
Eintracht Frankfurt,Marius Wolf,2,73,40,0,0,6.57
Darmstadt 98,Dominik Stroh-Engel,1,44,8,0,0,6.57
Augsburg,Jan Morávek,11,72,200,0,1,6.56
Hamburger Sv,René Adler,1,49,262,1,0,6.56
Augsburg,Moritz Leitner,2,67,45,0,0,6.56
Wolfsburg,Josip Brekalo,1,91,29,0,0,6.55
Freiburg,Jonas Föhrenbach,0,72,42,0,0,6.55
Eintracht Frankfurt,Heinz Lindner,0,35,28,0,0,6.55
Freiburg,Georg Niedermeier,1,80,33,0,0,6.55
Darmstadt 98,Sandro Sirigu,15,71,333,1,3,6.55
Werder Bremen,Luca Caldirola,0,70,90,0,0,6.54
1899 Hoffenheim,Phillipp Ochs,1,77,51,0,0,6.53
Freiburg,Aleksandar Ignjovski,3,74,286,0,0,6.53
Hertha Bsc,Sami Allagui,1,69,25,1,1,6.53
Augsburg,Kevin Danso,2,72,162,0,0,6.51
Eintracht Frankfurt,Shani Tarashaj,1,70,89,0,0,6.51
Ingolstadt,Moritz Hartmann,10,65,184,0,1,6.51
1 Fsv Mainz 05,Robin Quaison,2,62,73,0,1,6.50
Wolfsburg,Paul-Georges Ntep,6,66,115,2,3,6.50
Borussia Mgladbach,Josip Drmić,3,64,62,0,1,6.50
Fc Schalke 04,Junior Caiçara,1,75,41,0,0,6.50
