Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
1 Fsv Mainz 05,Robin Quaison,1,0,4,7,19,6.69
Freiburg,Marco Terrazzino,2,0,1,3,6,6.69
1 Fsv Mainz 05,Jean-Philippe Gbamin,5,0,29,30,51,6.69
Hannover 96,Kevin Wimmer,23,0,59,41,25,6.69
Freiburg,Robin Koch,18,1,75,32,25,6.68
Eintracht Frankfurt,Evan N'Dicka,11,0,113,29,43,6.68
Hannover 96,Linton Maina,0,0,4,14,28,6.68
Hertha Bsc,Per Ciljan Skjelbred,1,0,13,20,26,6.68
Vfb Stuttgart,Andreas Beck,6,0,48,22,35,6.68
Augsburg,Sergio Córdova,0,0,5,3,9,6.68
Fc Schalke 04,Alexander Nübel,0,0,10,1,0,6.68
Vfb Stuttgart,Erik Thommy,1,0,1,14,5,6.68
1 Fc Nurnberg,Robert Bauer,5,0,65,28,48,6.68
Rb Leipzig,Stefan Ilsanker,2,1,43,19,26,6.68
Bayer 04 Leverkusen,Tin Jedvaj,2,0,49,22,23,6.68
Eintracht Frankfurt,Marc Stendera,1,0,0,0,6,6.68
1 Fsv Mainz 05,Ridle Baku,1,0,6,8,18,6.67
Hannover 96,Nicolai Müller,2,0,6,1,22,6.67
Werder Bremen,Johannes Eggestein,0,0,5,4,13,6.66
Augsburg,Ja-Cheol Koo,5,0,18,27,36,6.65
Eintracht Frankfurt,Jetro Willems,4,0,10,10,20,6.65
Fc Schalke 04,Sebastian Rudy,2,0,13,15,44,6.65
Eintracht Frankfurt,Carlos Salcedo,3,0,20,9,7,6.65
Freiburg,Amir Abrashi,3,0,15,14,20,6.65
Fortuna Dusseldorf,Davor Lovren,0,0,0,0,1,6.65
Bayer 04 Leverkusen,Ramazan Özcan,0,0,2,1,0,6.65
Wolfsburg,John Yeboah,0,0,0,1,0,6.65
Rb Leipzig,Konrad Laimer,2,0,19,32,72,6.65
Eintracht Frankfurt,Gélson Fernandes,9,0,16,53,74,6.65
Hertha Bsc,Lukas Klünter,2,0,17,12,11,6.64
Hannover 96,Matthias Ostrzolek,5,1,38,26,32,6.64
Vfb Stuttgart,Ron-Robert Zieler,0,3,35,1,2,6.64
Fortuna Dusseldorf,Michael Rensing,0,1,37,2,2,6.64
1 Fc Nurnberg,Tim Leibold,3,0,50,38,62,6.63
Wolfsburg,Yunus Malli,0,0,1,4,15,6.63
Hannover 96,Genki Haraguchi,5,0,25,21,44,6.63
Fc Schalke 04,Nassim Boujellab,0,0,3,2,10,6.63
1 Fsv Mainz 05,Florian Müller,0,3,12,3,1,6.63
